fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-07-11,2026-08-01,0.914,0.995
1,AL,2026-07-11,2026-08-01,0.915,0.984
2,AK,2026-07-11,2026-08-01,0.917,0.983
4,AZ,2026-07-11,2026-08-01,0.929,0.986
5,AR,2026-07-11,2026-08-01,0.891,0.979
6,CA,2026-07-11,2026-08-01,0.956,0.992
8,CO,2026-07-11,2026-08-01,0.922,0.984
9,CT,2026-07-11,2026-08-01,0.897,0.98
10,DE,2026-07-11,2026-08-01,0.875,0.976
11,DC,2026-07-11,2026-08-01,0.887,0.978
12,FL,2026-07-11,2026-08-01,0.926,0.985
13,GA,2026-07-11,2026-08-01,0.912,0.982
15,HI,2026-07-11,2026-08-01,0.93,0.986
16,ID,2026-07-11,2026-08-01,0.862,0.974
17,IL,2026-07-11,2026-08-01,0.539,0.96
18,IN,2026-07-11,2026-08-01,0.903,0.981
19,IA,2026-07-11,2026-08-01,0.904,0.981
20,KS,2026-07-11,2026-08-01,0.86,0.974
21,KY,2026-07-11,2026-08-01,0.877,0.971
22,LA,2026-07-11,2026-08-01,0.629,0.967
23,ME,2026-07-11,2026-08-01,0.902,0.98
24,MD,2026-07-11,2026-08-01,0.914,0.983
25,MA,2026-07-11,2026-08-01,0.911,0.982
26,MI,2026-07-11,2026-08-01,0.938,0.988
27,MN,2026-07-11,2026-08-01,0.918,0.984
28,MS,2026-07-11,2026-08-01,0.973,0.994
29,MO,2026-07-11,2026-08-01,0.897,0.981
30,MT,2026-07-11,2026-08-01,0.882,0.977
31,NE,2026-07-11,2026-08-01,0.909,0.982
32,NV,2026-07-11,2026-08-01,0.925,0.986
33,NH,2026-07-11,2026-08-01,0.893,0.979
34,NJ,2026-07-11,2026-08-01,0.95,0.99
35,NM,2026-07-11,2026-08-01,0.906,0.981
36,NY,2026-07-11,2026-08-01,0.925,0.984
37,NC,2026-07-11,2026-08-01,0.919,0.984
38,ND,2026-07-11,2026-08-01,0.915,0.983
39,OH,2026-07-11,2026-08-01,0.917,0.984
40,OK,2026-07-11,2026-08-01,0.897,0.981
41,OR,2026-07-11,2026-08-01,0.903,0.981
42,PA,2026-07-11,2026-08-01,0.989,0.998
44,RI,2026-07-11,2026-08-01,0.9,0.98
45,SC,2026-07-11,2026-08-01,0.923,0.985
46,SD,2026-07-11,2026-08-01,0.906,0.981
47,TN,2026-07-11,2026-08-01,0.93,0.987
48,TX,2026-07-11,2026-08-01,0.946,0.995
49,UT,2026-07-11,2026-08-01,0.915,0.983
50,VT,2026-07-11,2026-08-01,0.902,0.98
51,VA,2026-07-11,2026-08-01,0.915,0.984
53,WA,2026-07-11,2026-08-01,0.97,0.994
54,WV,2026-07-11,2026-08-01,0.911,0.982
55,WI,2026-07-11,2026-08-01,0.922,0.984
56,WY,2026-07-11,2026-08-01,0.902,0.98
72,PR,2026-07-11,2026-08-01,0.96,0.995
