fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-02-21,2026-03-14,0.92,0.991
1,AL,2026-02-21,2026-03-14,0.854,0.996
2,AK,2026-02-21,2026-03-14,0.939,0.988
4,AZ,2026-02-21,2026-03-14,0.939,0.994
5,AR,2026-02-21,2026-03-14,0.925,0.989
6,CA,2026-02-21,2026-03-14,0.899,0.999
8,CO,2026-02-21,2026-03-14,0.98,0.996
9,CT,2026-02-21,2026-03-14,0.964,0.993
10,DE,2026-02-21,2026-03-14,0.875,0.982
11,DC,2026-02-21,2026-03-14,0.772,0.964
12,FL,2026-02-21,2026-03-14,0.853,0.976
13,GA,2026-02-21,2026-03-14,0.913,0.985
15,HI,2026-02-21,2026-03-14,0.914,0.984
16,ID,2026-02-21,2026-03-14,0.766,0.984
17,IL,2026-02-21,2026-03-14,0.943,0.986
18,IN,2026-02-21,2026-03-14,0.892,0.988
19,IA,2026-02-21,2026-03-14,0.888,0.985
20,KS,2026-02-21,2026-03-14,0.945,0.99
21,KY,2026-02-21,2026-03-14,0.882,0.987
22,LA,2026-02-21,2026-03-14,0.927,0.992
23,ME,2026-02-21,2026-03-14,0.883,0.97
24,MD,2026-02-21,2026-03-14,0.907,0.986
25,MA,2026-02-21,2026-03-14,0.894,0.987
26,MI,2026-02-21,2026-03-14,0.94,0.985
27,MN,2026-02-21,2026-03-14,0.989,0.998
28,MS,2026-02-21,2026-03-14,0.89,0.979
29,MO,2026-02-21,2026-03-14,0.828,0.993
30,MT,2026-02-21,2026-03-14,0.884,0.977
31,NE,2026-02-21,2026-03-14,0.909,0.983
32,NV,2026-02-21,2026-03-14,0.862,0.978
33,NH,2026-02-21,2026-03-14,0.85,0.98
34,NJ,2026-02-21,2026-03-14,0.995,0.999
35,NM,2026-02-21,2026-03-14,0.907,0.984
36,NY,2026-02-21,2026-03-14,0.859,0.972
37,NC,2026-02-21,2026-03-14,0.959,0.995
38,ND,2026-02-21,2026-03-14,0.928,0.987
39,OH,2026-02-21,2026-03-14,0.968,0.995
40,OK,2026-02-21,2026-03-14,0.94,0.99
41,OR,2026-02-21,2026-03-14,0.777,0.953
42,PA,2026-02-21,2026-03-14,1.0,0.967
44,RI,2026-02-21,2026-03-14,0.922,0.986
45,SC,2026-02-21,2026-03-14,0.969,0.993
46,SD,2026-02-21,2026-03-14,0.925,0.988
47,TN,2026-02-21,2026-03-14,0.948,0.995
48,TX,2026-02-21,2026-03-14,0.957,0.974
49,UT,2026-02-21,2026-03-14,0.964,0.992
50,VT,2026-02-21,2026-03-14,0.914,0.984
51,VA,2026-02-21,2026-03-14,0.952,0.994
53,WA,2026-02-21,2026-03-14,0.997,0.999
54,WV,2026-02-21,2026-03-14,0.879,0.982
55,WI,2026-02-21,2026-03-14,0.941,0.992
56,WY,2026-02-21,2026-03-14,0.889,0.974
72,PR,2026-02-21,2026-03-14,0.984,0.995
