fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2025-12-06,2025-12-27,0.91,0.988
1,AL,2025-12-06,2025-12-27,0.952,0.995
2,AK,2025-12-06,2025-12-27,0.929,0.988
4,AZ,2025-12-06,2025-12-27,0.982,0.997
5,AR,2025-12-06,2025-12-27,0.953,0.993
6,CA,2025-12-06,2025-12-27,0.895,0.987
8,CO,2025-12-06,2025-12-27,0.957,0.997
9,CT,2025-12-06,2025-12-27,0.93,0.949
10,DE,2025-12-06,2025-12-27,0.916,0.978
11,DC,2025-12-06,2025-12-27,0.849,0.982
12,FL,2025-12-06,2025-12-27,0.882,0.987
13,GA,2025-12-06,2025-12-27,0.743,0.985
15,HI,2025-12-06,2025-12-27,0.94,0.991
16,ID,2025-12-06,2025-12-27,0.883,0.967
17,IL,2025-12-06,2025-12-27,0.91,0.992
18,IN,2025-12-06,2025-12-27,0.881,0.967
19,IA,2025-12-06,2025-12-27,0.892,0.983
20,KS,2025-12-06,2025-12-27,0.963,0.994
21,KY,2025-12-06,2025-12-27,0.794,0.976
22,LA,2025-12-06,2025-12-27,0.783,0.991
23,ME,2025-12-06,2025-12-27,0.978,0.996
24,MD,2025-12-06,2025-12-27,0.9,0.984
25,MA,2025-12-06,2025-12-27,0.937,0.996
26,MI,2025-12-06,2025-12-27,0.935,0.993
27,MN,2025-12-06,2025-12-27,0.946,0.997
28,MS,2025-12-06,2025-12-27,0.979,0.996
29,MO,2025-12-06,2025-12-27,0.884,0.983
30,MT,2025-12-06,2025-12-27,0.907,0.986
31,NE,2025-12-06,2025-12-27,0.86,0.978
32,NV,2025-12-06,2025-12-27,0.934,0.98
33,NH,2025-12-06,2025-12-27,0.937,0.991
34,NJ,2025-12-06,2025-12-27,0.999,1.0
35,NM,2025-12-06,2025-12-27,0.935,0.991
36,NY,2025-12-06,2025-12-27,0.823,0.961
37,NC,2025-12-06,2025-12-27,0.933,0.998
38,ND,2025-12-06,2025-12-27,0.883,0.981
39,OH,2025-12-06,2025-12-27,0.919,0.998
40,OK,2025-12-06,2025-12-27,0.697,0.933
41,OR,2025-12-06,2025-12-27,0.785,0.96
42,PA,2025-12-06,2025-12-27,0.993,0.999
44,RI,2025-12-06,2025-12-27,0.989,0.998
45,SC,2025-12-06,2025-12-27,0.949,0.984
46,SD,2025-12-06,2025-12-27,0.915,0.984
47,TN,2025-12-06,2025-12-27,0.988,0.998
48,TX,2025-12-06,2025-12-27,0.946,0.998
49,UT,2025-12-06,2025-12-27,0.985,0.997
50,VT,2025-12-06,2025-12-27,0.875,0.979
51,VA,2025-12-06,2025-12-27,0.966,0.996
53,WA,2025-12-06,2025-12-27,0.93,0.989
54,WV,2025-12-06,2025-12-27,0.96,0.993
55,WI,2025-12-06,2025-12-27,0.887,0.994
56,WY,2025-12-06,2025-12-27,0.914,0.975
72,PR,2025-12-06,2025-12-27,1.0,1.0
