fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-02-28,2026-03-21,0.922,0.993
1,AL,2026-02-28,2026-03-21,0.876,0.996
2,AK,2026-02-28,2026-03-21,0.938,0.988
4,AZ,2026-02-28,2026-03-21,0.929,0.993
5,AR,2026-02-28,2026-03-21,0.901,0.985
6,CA,2026-02-28,2026-03-21,0.884,1.0
8,CO,2026-02-28,2026-03-21,0.975,0.995
9,CT,2026-02-28,2026-03-21,0.953,0.991
10,DE,2026-02-28,2026-03-21,0.967,0.994
11,DC,2026-02-28,2026-03-21,0.808,0.967
12,FL,2026-02-28,2026-03-21,0.857,0.985
13,GA,2026-02-28,2026-03-21,0.865,0.964
15,HI,2026-02-28,2026-03-21,0.917,0.98
16,ID,2026-02-28,2026-03-21,0.754,0.981
17,IL,2026-02-28,2026-03-21,0.955,0.992
18,IN,2026-02-28,2026-03-21,0.946,0.991
19,IA,2026-02-28,2026-03-21,0.915,0.99
20,KS,2026-02-28,2026-03-21,0.941,0.989
21,KY,2026-02-28,2026-03-21,0.884,0.994
22,LA,2026-02-28,2026-03-21,0.904,0.991
23,ME,2026-02-28,2026-03-21,0.903,0.984
24,MD,2026-02-28,2026-03-21,0.929,0.989
25,MA,2026-02-28,2026-03-21,0.891,0.986
26,MI,2026-02-28,2026-03-21,0.949,0.992
27,MN,2026-02-28,2026-03-21,0.985,0.997
28,MS,2026-02-28,2026-03-21,0.883,0.98
29,MO,2026-02-28,2026-03-21,0.911,0.993
30,MT,2026-02-28,2026-03-21,0.917,0.979
31,NE,2026-02-28,2026-03-21,0.923,0.986
32,NV,2026-02-28,2026-03-21,0.881,0.982
33,NH,2026-02-28,2026-03-21,0.842,0.978
34,NJ,2026-02-28,2026-03-21,0.997,0.999
35,NM,2026-02-28,2026-03-21,0.888,0.979
36,NY,2026-02-28,2026-03-21,0.879,0.977
37,NC,2026-02-28,2026-03-21,0.953,0.993
38,ND,2026-02-28,2026-03-21,0.943,0.989
39,OH,2026-02-28,2026-03-21,0.941,0.993
40,OK,2026-02-28,2026-03-21,0.959,0.991
41,OR,2026-02-28,2026-03-21,0.727,0.934
42,PA,2026-02-28,2026-03-21,1.0,1.0
44,RI,2026-02-28,2026-03-21,0.953,0.991
45,SC,2026-02-28,2026-03-21,0.966,0.991
46,SD,2026-02-28,2026-03-21,0.946,0.99
47,TN,2026-02-28,2026-03-21,0.939,0.994
48,TX,2026-02-28,2026-03-21,0.933,0.973
49,UT,2026-02-28,2026-03-21,0.967,0.993
50,VT,2026-02-28,2026-03-21,0.88,0.979
51,VA,2026-02-28,2026-03-21,0.93,0.992
53,WA,2026-02-28,2026-03-21,1.0,1.0
54,WV,2026-02-28,2026-03-21,0.771,0.976
55,WI,2026-02-28,2026-03-21,0.96,0.993
56,WY,2026-02-28,2026-03-21,0.889,0.98
72,PR,2026-02-28,2026-03-21,0.971,0.993
