fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-01-03,2026-01-24,0.906,0.986
1,AL,2026-01-03,2026-01-24,0.771,0.985
2,AK,2026-01-03,2026-01-24,0.796,0.94
4,AZ,2026-01-03,2026-01-24,0.94,0.994
5,AR,2026-01-03,2026-01-24,0.837,0.954
6,CA,2026-01-03,2026-01-24,0.89,0.989
8,CO,2026-01-03,2026-01-24,0.926,0.996
9,CT,2026-01-03,2026-01-24,0.978,0.997
10,DE,2026-01-03,2026-01-24,0.907,0.991
11,DC,2026-01-03,2026-01-24,0.819,0.975
12,FL,2026-01-03,2026-01-24,0.84,0.988
13,GA,2026-01-03,2026-01-24,0.893,0.994
15,HI,2026-01-03,2026-01-24,0.929,0.99
16,ID,2026-01-03,2026-01-24,0.939,0.991
17,IL,2026-01-03,2026-01-24,0.955,0.99
18,IN,2026-01-03,2026-01-24,0.858,0.971
19,IA,2026-01-03,2026-01-24,0.913,0.987
20,KS,2026-01-03,2026-01-24,0.87,0.984
21,KY,2026-01-03,2026-01-24,0.856,0.994
22,LA,2026-01-03,2026-01-24,0.946,0.993
23,ME,2026-01-03,2026-01-24,0.95,0.989
24,MD,2026-01-03,2026-01-24,0.9,0.96
25,MA,2026-01-03,2026-01-24,0.923,0.997
26,MI,2026-01-03,2026-01-24,0.961,0.982
27,MN,2026-01-03,2026-01-24,0.98,0.998
28,MS,2026-01-03,2026-01-24,0.956,0.994
29,MO,2026-01-03,2026-01-24,0.804,0.915
30,MT,2026-01-03,2026-01-24,0.919,0.984
31,NE,2026-01-03,2026-01-24,0.868,0.978
32,NV,2026-01-03,2026-01-24,0.816,0.99
33,NH,2026-01-03,2026-01-24,0.828,0.957
34,NJ,2026-01-03,2026-01-24,0.992,0.997
35,NM,2026-01-03,2026-01-24,0.924,0.992
36,NY,2026-01-03,2026-01-24,0.873,0.963
37,NC,2026-01-03,2026-01-24,0.929,0.998
38,ND,2026-01-03,2026-01-24,1.0,0.831
39,OH,2026-01-03,2026-01-24,0.947,0.998
40,OK,2026-01-03,2026-01-24,0.821,0.956
41,OR,2026-01-03,2026-01-24,0.739,0.954
42,PA,2026-01-03,2026-01-24,0.917,0.994
44,RI,2026-01-03,2026-01-24,0.954,0.986
45,SC,2026-01-03,2026-01-24,0.928,0.993
46,SD,2026-01-03,2026-01-24,0.714,0.907
47,TN,2026-01-03,2026-01-24,0.949,0.997
48,TX,2026-01-03,2026-01-24,0.894,0.99
49,UT,2026-01-03,2026-01-24,0.89,0.989
50,VT,2026-01-03,2026-01-24,0.849,0.975
51,VA,2026-01-03,2026-01-24,0.945,0.993
53,WA,2026-01-03,2026-01-24,0.976,0.996
54,WV,2026-01-03,2026-01-24,0.75,0.931
55,WI,2026-01-03,2026-01-24,0.972,0.995
56,WY,2026-01-03,2026-01-24,0.889,0.984
72,PR,2026-01-03,2026-01-24,0.936,0.977
