fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-02,2026-05-23,0.923,0.986
1,AL,2026-05-02,2026-05-23,0.812,0.971
2,AK,2026-05-02,2026-05-23,0.912,0.982
4,AZ,2026-05-02,2026-05-23,0.903,0.983
5,AR,2026-05-02,2026-05-23,0.867,0.974
6,CA,2026-05-02,2026-05-23,0.903,0.993
8,CO,2026-05-02,2026-05-23,0.965,0.993
9,CT,2026-05-02,2026-05-23,0.932,0.986
10,DE,2026-05-02,2026-05-23,0.862,0.974
11,DC,2026-05-02,2026-05-23,0.852,0.972
12,FL,2026-05-02,2026-05-23,0.88,0.97
13,GA,2026-05-02,2026-05-23,0.881,0.977
15,HI,2026-05-02,2026-05-23,0.912,0.98
16,ID,2026-05-02,2026-05-23,0.886,0.979
17,IL,2026-05-02,2026-05-23,0.916,0.984
18,IN,2026-05-02,2026-05-23,0.904,0.983
19,IA,2026-05-02,2026-05-23,0.836,0.965
20,KS,2026-05-02,2026-05-23,0.877,0.977
21,KY,2026-05-02,2026-05-23,0.687,0.915
22,LA,2026-05-02,2026-05-23,0.93,0.987
23,ME,2026-05-02,2026-05-23,0.894,0.98
24,MD,2026-05-02,2026-05-23,0.944,0.989
25,MA,2026-05-02,2026-05-23,0.937,0.988
26,MI,2026-05-02,2026-05-23,0.942,0.989
27,MN,2026-05-02,2026-05-23,0.961,0.992
28,MS,2026-05-02,2026-05-23,0.869,0.979
29,MO,2026-05-02,2026-05-23,0.903,0.982
30,MT,2026-05-02,2026-05-23,0.915,0.983
31,NE,2026-05-02,2026-05-23,0.875,0.972
32,NV,2026-05-02,2026-05-23,0.873,0.975
33,NH,2026-05-02,2026-05-23,0.898,0.98
34,NJ,2026-05-02,2026-05-23,1.0,1.0
35,NM,2026-05-02,2026-05-23,0.89,0.978
36,NY,2026-05-02,2026-05-23,0.863,0.965
37,NC,2026-05-02,2026-05-23,0.93,0.985
38,ND,2026-05-02,2026-05-23,0.88,0.973
39,OH,2026-05-02,2026-05-23,0.945,0.989
40,OK,2026-05-02,2026-05-23,0.904,0.98
41,OR,2026-05-02,2026-05-23,0.874,0.973
42,PA,2026-05-02,2026-05-23,0.951,0.993
44,RI,2026-05-02,2026-05-23,0.892,0.978
45,SC,2026-05-02,2026-05-23,0.945,0.989
46,SD,2026-05-02,2026-05-23,0.87,0.976
47,TN,2026-05-02,2026-05-23,0.955,0.991
48,TX,2026-05-02,2026-05-23,0.944,0.986
49,UT,2026-05-02,2026-05-23,0.926,0.985
50,VT,2026-05-02,2026-05-23,0.902,0.98
51,VA,2026-05-02,2026-05-23,1.0,1.0
53,WA,2026-05-02,2026-05-23,0.954,0.991
54,WV,2026-05-02,2026-05-23,0.926,0.985
55,WI,2026-05-02,2026-05-23,0.883,0.978
56,WY,2026-05-02,2026-05-23,0.917,0.984
72,PR,2026-05-02,2026-05-23,1.0,1.0
