,name_state,y0_sum,y1_sum,y2_sum,p_02_mean,p_02_median,p_02_low_90,p_02_high_90,p_12_mean,p_12_median,p_12_low_90,p_12_high_90
0,AK,3.0,3.0,3.0,0.9583333333333334,0.9703127527497981,0.8778766110934769,0.9977723416875942,0.9814814814814815,0.9870069000017986,0.9450445115348222,0.9990326701581371
1,AL,57.0,68.0,68.0,0.8651685393258427,0.8679073119098025,0.8015863520110299,0.9193919543639117,0.9915966386554622,0.9941430903129153,0.9749319925573132,0.9995654055280597
2,AR,79.0,43.0,30.0,1.0,,,,1.0,,,
3,AZ,60.0,64.0,65.0,0.9302325581395349,0.9335545333859114,0.8802942132956211,0.968814392421124,0.9827586206896551,0.9854486391734761,0.9594144285748661,0.9969011841948583
4,CA,281.0,295.0,297.0,0.9465408805031447,0.9474753704305642,0.9243468979496503,0.9655450386743848,0.9913793103448276,0.992301254407301,0.9819684831138052,0.9976395123389948
5,CO,141.0,142.0,142.0,0.9877300613496932,0.9896614944772362,0.971053089127699,0.9978020264234739,0.9948186528497409,0.9963963671608146,0.9845183203813259,0.9997328831071364
6,CT,37.0,41.0,41.0,0.9193548387096774,0.923847345838698,0.8561950404588264,0.9671466720920268,0.9891304347826086,0.9924119338606987,0.9676158352635655,0.9994364962522191
7,DC,13.0,20.0,20.0,0.8048780487804879,0.8098645772244553,0.6962943329965854,0.896393944572199,0.9859154929577465,0.9901467618185567,0.9581066559331114,0.9992675070556406
8,DE,7.0,7.0,7.0,0.9642857142857143,0.9746546091224311,0.8949807698236557,0.9981020517419952,0.9827586206896551,0.9879131629461064,0.9488005163229608,0.9991005224150274
9,FL,872.0,922.0,960.0,0.90927624872579,0.9095543601314059,0.8937397984849103,0.9238638610745749,0.9614243323442137,0.961728307557399,0.950974443473056,0.9708370704074593
10,GA,140.0,161.0,161.0,0.8791208791208791,0.8805101261008271,0.8372368172043556,0.916261794493072,0.9952830188679245,0.9967203321707072,0.9859025299351921,0.9997569333635511
11,HI,58.0,58.0,58.0,0.9873417721518988,0.9911528659451397,0.9623213657990315,0.9993426098373573,0.9908256880733946,0.9936025221110335,0.9726429113002488,0.9995251748541609
12,IA,13.0,13.0,13.0,0.9705882352941176,0.9792145972460014,0.9132188107085251,0.9984468651101199,0.984375,0.9890579681360733,0.9535615485160618,0.9991861520780205
13,ID,36.0,38.0,38.0,0.9491525423728814,0.9541624187098124,0.8954027180811037,0.9857551941153224,0.9887640449438202,0.9921542671912749,0.9665305110833625,0.9994172914952693
14,IL,126.0,129.0,129.0,0.9733333333333334,0.97541079586228,0.9487869403562816,0.9907792597491161,0.9944444444444445,0.9961351571863506,0.9834033332548668,0.9997134863356327
15,IN,96.0,100.0,100.0,0.9586776859504132,0.9611843752706757,0.9253471918334457,0.9834408592542383,0.9933774834437086,0.9953896791032291,0.9802265618354915,0.9996581031641314
16,KS,15.0,16.0,17.0,0.9210526315789473,0.92838259507114,0.8394578326125546,0.977535479569417,0.9705882352941176,0.9750764379505508,0.9311438393660663,0.9946703024412744
17,KY,42.0,47.0,47.0,0.9117647058823529,0.9157926399553895,0.849475709957763,0.9602790335701722,0.9897959183673469,0.9928796236375923,0.9695881959630689,0.9994713429390568
