fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-03-21,2026-04-11,0.925,0.988
1,AL,2026-03-21,2026-04-11,0.829,0.979
2,AK,2026-03-21,2026-04-11,0.916,0.981
4,AZ,2026-03-21,2026-04-11,0.956,0.993
5,AR,2026-03-21,2026-04-11,0.879,0.979
6,CA,2026-03-21,2026-04-11,0.852,0.992
8,CO,2026-03-21,2026-04-11,0.937,0.988
9,CT,2026-03-21,2026-04-11,0.946,0.99
10,DE,2026-03-21,2026-04-11,0.945,0.989
11,DC,2026-03-21,2026-04-11,0.887,0.978
12,FL,2026-03-21,2026-04-11,0.904,0.985
13,GA,2026-03-21,2026-04-11,0.898,0.96
15,HI,2026-03-21,2026-04-11,0.831,0.957
16,ID,2026-03-21,2026-04-11,0.946,0.987
17,IL,2026-03-21,2026-04-11,0.997,0.999
18,IN,2026-03-21,2026-04-11,0.912,0.989
19,IA,2026-03-21,2026-04-11,0.945,0.99
20,KS,2026-03-21,2026-04-11,0.931,0.982
21,KY,2026-03-21,2026-04-11,0.804,0.97
22,LA,2026-03-21,2026-04-11,0.94,0.99
23,ME,2026-03-21,2026-04-11,0.892,0.978
24,MD,2026-03-21,2026-04-11,0.931,0.987
25,MA,2026-03-21,2026-04-11,0.931,0.98
26,MI,2026-03-21,2026-04-11,0.974,0.995
27,MN,2026-03-21,2026-04-11,0.961,0.991
28,MS,2026-03-21,2026-04-11,0.909,0.973
29,MO,2026-03-21,2026-04-11,0.951,0.992
30,MT,2026-03-21,2026-04-11,0.908,0.98
31,NE,2026-03-21,2026-04-11,0.889,0.976
32,NV,2026-03-21,2026-04-11,0.909,0.986
33,NH,2026-03-21,2026-04-11,0.957,0.991
34,NJ,2026-03-21,2026-04-11,1.0,1.0
35,NM,2026-03-21,2026-04-11,0.891,0.978
36,NY,2026-03-21,2026-04-11,0.918,0.987
37,NC,2026-03-21,2026-04-11,0.975,0.995
38,ND,2026-03-21,2026-04-11,0.945,0.989
39,OH,2026-03-21,2026-04-11,0.883,0.988
40,OK,2026-03-21,2026-04-11,0.983,0.996
41,OR,2026-03-21,2026-04-11,0.839,0.973
42,PA,2026-03-21,2026-04-11,0.983,0.997
44,RI,2026-03-21,2026-04-11,0.941,0.988
45,SC,2026-03-21,2026-04-11,0.957,0.992
46,SD,2026-03-21,2026-04-11,0.946,0.989
47,TN,2026-03-21,2026-04-11,0.977,0.996
48,TX,2026-03-21,2026-04-11,0.867,0.972
49,UT,2026-03-21,2026-04-11,0.957,0.991
50,VT,2026-03-21,2026-04-11,0.868,0.975
51,VA,2026-03-21,2026-04-11,0.884,0.983
53,WA,2026-03-21,2026-04-11,0.982,0.996
54,WV,2026-03-21,2026-04-11,0.702,0.969
55,WI,2026-03-21,2026-04-11,0.931,0.97
56,WY,2026-03-21,2026-04-11,0.907,0.982
72,PR,2026-03-21,2026-04-11,0.965,0.993
