fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-04-18,2026-05-09,0.895,0.954
1,AL,2026-04-18,2026-05-09,0.882,0.981
2,AK,2026-04-18,2026-05-09,0.892,0.979
4,AZ,2026-04-18,2026-05-09,0.964,0.992
5,AR,2026-04-18,2026-05-09,0.838,0.969
6,CA,2026-04-18,2026-05-09,0.926,0.991
8,CO,2026-04-18,2026-05-09,0.993,0.999
9,CT,2026-04-18,2026-05-09,0.958,0.992
10,DE,2026-04-18,2026-05-09,0.864,0.975
11,DC,2026-04-18,2026-05-09,0.879,0.977
12,FL,2026-04-18,2026-05-09,0.903,0.985
13,GA,2026-04-18,2026-05-09,0.907,0.984
15,HI,2026-04-18,2026-05-09,0.907,0.981
16,ID,2026-04-18,2026-05-09,0.924,0.985
17,IL,2026-04-18,2026-05-09,0.961,0.961
18,IN,2026-04-18,2026-05-09,0.919,0.98
19,IA,2026-04-18,2026-05-09,0.889,0.976
20,KS,2026-04-18,2026-05-09,0.89,0.979
21,KY,2026-04-18,2026-05-09,0.762,0.953
22,LA,2026-04-18,2026-05-09,0.934,0.988
23,ME,2026-04-18,2026-05-09,0.917,0.984
24,MD,2026-04-18,2026-05-09,0.939,0.988
25,MA,2026-04-18,2026-05-09,0.93,0.988
26,MI,2026-04-18,2026-05-09,0.929,0.978
27,MN,2026-04-18,2026-05-09,0.986,0.997
28,MS,2026-04-18,2026-05-09,0.898,0.979
29,MO,2026-04-18,2026-05-09,0.856,0.976
30,MT,2026-04-18,2026-05-09,0.906,0.982
31,NE,2026-04-18,2026-05-09,0.9,0.977
32,NV,2026-04-18,2026-05-09,0.895,0.984
33,NH,2026-04-18,2026-05-09,0.909,0.982
34,NJ,2026-04-18,2026-05-09,1.0,1.0
35,NM,2026-04-18,2026-05-09,0.867,0.977
36,NY,2026-04-18,2026-05-09,0.835,0.942
37,NC,2026-04-18,2026-05-09,0.941,0.989
38,ND,2026-04-18,2026-05-09,0.84,0.961
39,OH,2026-04-18,2026-05-09,0.951,0.99
40,OK,2026-04-18,2026-05-09,0.873,0.975
41,OR,2026-04-18,2026-05-09,0.905,0.982
42,PA,2026-04-18,2026-05-09,0.677,0.825
44,RI,2026-04-18,2026-05-09,0.905,0.98
45,SC,2026-04-18,2026-05-09,0.943,0.989
46,SD,2026-04-18,2026-05-09,0.893,0.98
47,TN,2026-04-18,2026-05-09,0.949,0.99
48,TX,2026-04-18,2026-05-09,0.949,0.989
49,UT,2026-04-18,2026-05-09,0.933,0.987
50,VT,2026-04-18,2026-05-09,0.893,0.979
51,VA,2026-04-18,2026-05-09,0.983,0.996
53,WA,2026-04-18,2026-05-09,0.957,0.992
54,WV,2026-04-18,2026-05-09,0.953,0.991
55,WI,2026-04-18,2026-05-09,0.897,0.977
56,WY,2026-04-18,2026-05-09,0.894,0.978
72,PR,2026-04-18,2026-05-09,0.995,0.999
