fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-02-07,2026-02-28,0.9,0.991
1,AL,2026-02-07,2026-02-28,0.628,0.994
2,AK,2026-02-07,2026-02-28,0.809,0.948
4,AZ,2026-02-07,2026-02-28,0.95,0.995
5,AR,2026-02-07,2026-02-28,0.89,0.984
6,CA,2026-02-07,2026-02-28,0.851,0.999
8,CO,2026-02-07,2026-02-28,0.979,0.996
9,CT,2026-02-07,2026-02-28,0.967,0.994
10,DE,2026-02-07,2026-02-28,0.777,0.93
11,DC,2026-02-07,2026-02-28,0.773,0.963
12,FL,2026-02-07,2026-02-28,0.862,0.987
13,GA,2026-02-07,2026-02-28,0.965,0.992
15,HI,2026-02-07,2026-02-28,0.858,0.978
16,ID,2026-02-07,2026-02-28,0.893,0.989
17,IL,2026-02-07,2026-02-28,0.946,0.987
18,IN,2026-02-07,2026-02-28,0.9,0.993
19,IA,2026-02-07,2026-02-28,0.896,0.987
20,KS,2026-02-07,2026-02-28,0.932,0.983
21,KY,2026-02-07,2026-02-28,0.88,0.971
22,LA,2026-02-07,2026-02-28,0.836,0.992
23,ME,2026-02-07,2026-02-28,0.876,0.971
24,MD,2026-02-07,2026-02-28,0.89,0.982
25,MA,2026-02-07,2026-02-28,0.925,0.99
26,MI,2026-02-07,2026-02-28,0.917,0.984
27,MN,2026-02-07,2026-02-28,0.976,0.996
28,MS,2026-02-07,2026-02-28,0.904,0.983
29,MO,2026-02-07,2026-02-28,0.798,0.987
30,MT,2026-02-07,2026-02-28,0.824,0.973
31,NE,2026-02-07,2026-02-28,0.943,0.987
32,NV,2026-02-07,2026-02-28,0.88,0.983
33,NH,2026-02-07,2026-02-28,0.818,0.95
34,NJ,2026-02-07,2026-02-28,1.0,1.0
35,NM,2026-02-07,2026-02-28,1.0,0.926
36,NY,2026-02-07,2026-02-28,0.818,0.974
37,NC,2026-02-07,2026-02-28,0.986,0.998
38,ND,2026-02-07,2026-02-28,0.944,0.99
39,OH,2026-02-07,2026-02-28,0.961,0.997
40,OK,2026-02-07,2026-02-28,0.812,0.955
41,OR,2026-02-07,2026-02-28,0.799,0.983
42,PA,2026-02-07,2026-02-28,0.955,0.998
44,RI,2026-02-07,2026-02-28,0.929,0.987
45,SC,2026-02-07,2026-02-28,0.909,0.992
46,SD,2026-02-07,2026-02-28,0.891,0.984
47,TN,2026-02-07,2026-02-28,0.969,0.996
48,TX,2026-02-07,2026-02-28,0.939,0.983
49,UT,2026-02-07,2026-02-28,0.972,0.994
50,VT,2026-02-07,2026-02-28,0.92,0.985
51,VA,2026-02-07,2026-02-28,0.949,0.992
53,WA,2026-02-07,2026-02-28,1.0,1.0
54,WV,2026-02-07,2026-02-28,0.977,0.996
55,WI,2026-02-07,2026-02-28,0.951,0.995
56,WY,2026-02-07,2026-02-28,0.928,0.983
72,PR,2026-02-07,2026-02-28,0.997,0.999
