fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-01-31,2026-02-21,0.901,0.99
1,AL,2026-01-31,2026-02-21,0.652,0.994
2,AK,2026-01-31,2026-02-21,0.833,0.956
4,AZ,2026-01-31,2026-02-21,0.968,0.996
5,AR,2026-01-31,2026-02-21,0.906,0.987
6,CA,2026-01-31,2026-02-21,0.852,0.994
8,CO,2026-01-31,2026-02-21,0.98,0.996
9,CT,2026-01-31,2026-02-21,0.964,0.993
10,DE,2026-01-31,2026-02-21,0.805,0.938
11,DC,2026-01-31,2026-02-21,0.824,0.971
12,FL,2026-01-31,2026-02-21,0.882,0.988
13,GA,2026-01-31,2026-02-21,0.951,0.993
15,HI,2026-01-31,2026-02-21,0.861,0.979
16,ID,2026-01-31,2026-02-21,0.892,0.989
17,IL,2026-01-31,2026-02-21,0.945,0.987
18,IN,2026-01-31,2026-02-21,0.888,0.993
19,IA,2026-01-31,2026-02-21,0.912,0.986
20,KS,2026-01-31,2026-02-21,0.927,0.982
21,KY,2026-01-31,2026-02-21,0.889,0.975
22,LA,2026-01-31,2026-02-21,0.825,0.992
23,ME,2026-01-31,2026-02-21,0.88,0.973
24,MD,2026-01-31,2026-02-21,0.918,0.979
25,MA,2026-01-31,2026-02-21,0.934,0.992
26,MI,2026-01-31,2026-02-21,0.896,0.984
27,MN,2026-01-31,2026-02-21,0.979,0.996
28,MS,2026-01-31,2026-02-21,0.89,0.969
29,MO,2026-01-31,2026-02-21,0.773,0.985
30,MT,2026-01-31,2026-02-21,0.794,0.964
31,NE,2026-01-31,2026-02-21,0.95,0.988
32,NV,2026-01-31,2026-02-21,0.894,0.987
33,NH,2026-01-31,2026-02-21,0.852,0.956
34,NJ,2026-01-31,2026-02-21,0.999,1.0
35,NM,2026-01-31,2026-02-21,1.0,0.946
36,NY,2026-01-31,2026-02-21,0.846,0.972
37,NC,2026-01-31,2026-02-21,0.986,0.998
38,ND,2026-01-31,2026-02-21,0.956,0.992
39,OH,2026-01-31,2026-02-21,0.955,0.997
40,OK,2026-01-31,2026-02-21,0.759,0.955
41,OR,2026-01-31,2026-02-21,0.762,0.955
42,PA,2026-01-31,2026-02-21,0.952,0.998
44,RI,2026-01-31,2026-02-21,0.934,0.988
45,SC,2026-01-31,2026-02-21,0.908,0.988
46,SD,2026-01-31,2026-02-21,0.903,0.985
47,TN,2026-01-31,2026-02-21,0.97,0.997
48,TX,2026-01-31,2026-02-21,0.939,0.988
49,UT,2026-01-31,2026-02-21,0.977,0.995
50,VT,2026-01-31,2026-02-21,0.928,0.987
51,VA,2026-01-31,2026-02-21,0.958,0.991
53,WA,2026-01-31,2026-02-21,1.0,1.0
54,WV,2026-01-31,2026-02-21,0.98,0.996
55,WI,2026-01-31,2026-02-21,0.934,0.994
56,WY,2026-01-31,2026-02-21,0.925,0.982
72,PR,2026-01-31,2026-02-21,1.0,1.0
