,name_state,y0_sum,y1_sum,y2_sum,p_02_mean,p_02_median,p_02_low_90,p_02_high_90,p_12_mean,p_12_median,p_12_low_90,p_12_high_90
0,AK,4.0,10.0,10.0,0.7741935483870968,0.7801434142311132,0.6429908854383468,0.8850131044302613,0.9836065573770492,0.9885140203528962,0.9512970866899025,0.9991454770730508
1,AL,95.0,114.0,114.0,0.8518518518518519,0.8535914242490646,0.7989227144852746,0.8988402630851694,0.9939393939393939,0.9957824119130259,0.9818991640129494,0.99968728491539
2,AR,156.0,121.0,108.0,1.3643410852713178,1.0,1.0,1.0,1.0754716981132075,1.0,1.0,1.0
3,AZ,103.0,111.0,112.0,0.924812030075188,0.9269374023191581,0.88403897529548,0.9583249748077614,0.9877300613496932,0.9896614944772362,0.971053089127699,0.9978020264234739
4,CA,466.0,510.0,512.0,0.9118198874296435,0.9123348813469364,0.8907930396985408,0.931089443583209,0.9946714031971581,0.995244737881898,0.988840257992581,0.9985434993569031
5,CO,287.0,289.0,289.0,0.9903225806451613,0.9913555153814478,0.9797664292157833,0.9973486674106232,0.9970588235294118,0.9979574069896003,0.9912019628838655,0.999848703793365
6,CT,111.0,115.0,115.0,0.9632352941176471,0.9654865119073015,0.9334822973739589,0.9852949241897343,0.9939759036144579,0.9958079194005148,0.9820078731719949,0.9996891798637566
7,DC,23.0,34.0,34.0,0.7818181818181819,0.785251473949712,0.6854231455064383,0.8664718405812311,0.9882352941176471,0.9917822001045341,0.9649649693950579,0.9993895519422828
8,DE,14.0,17.0,17.0,0.8947368421052632,0.9016512858384947,0.8035710601755338,0.9622199897340751,0.9852941176470589,0.9897078501065013,0.9562724452181105,0.9992347214171129
9,FL,1486.0,1608.0,1646.0,0.9034193161367726,0.9035806473503201,0.8912534587997254,0.9150347997485674,0.9770182675309369,0.9772054402375272,0.9707343478368379,0.9826635933500224
10,GA,293.0,315.0,315.0,0.9315476190476191,0.9324030772458345,0.9075503362647599,0.9526251338828065,0.9972677595628415,0.9981027686515946,0.9918261037718297,0.9998594803001535
11,HI,85.0,87.0,87.0,0.9722222222222222,0.9750873396144807,0.9423308782726123,0.9923153332924542,0.9927536231884058,0.994953309081075,0.978370683346705,0.9996256664716164
12,IA,31.0,32.0,32.0,0.9622641509433962,0.9679337275112944,0.9119910692428064,0.9931231671166859,0.9879518072289156,0.9915826118753231,0.9641259682893288,0.9993746676215042
13,ID,81.0,62.0,62.0,1.216867469879518,1.0,1.0,1.0,0.9911504424778761,0.9938302971522361,0.973606939576347,0.9995421290121826
14,IL,254.0,259.0,259.0,0.9785714285714285,0.9797012309788994,0.9626901819214579,0.9905939441701815,0.9967741935483871,0.9977593193220607,0.9903519178416021,0.999834016060394
