fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-08-01,2026-08-22,0.945,0.985
1,AL,2026-08-01,2026-08-22,0.874,0.978
2,AK,2026-08-01,2026-08-22,0.9,0.978
4,AZ,2026-08-01,2026-08-22,0.903,0.979
5,AR,2026-08-01,2026-08-22,0.875,0.974
6,CA,2026-08-01,2026-08-22,0.919,0.984
8,CO,2026-08-01,2026-08-22,0.891,0.977
9,CT,2026-08-01,2026-08-22,0.921,0.984
10,DE,2026-08-01,2026-08-22,0.911,0.982
11,DC,2026-08-01,2026-08-22,0.9,0.98
12,FL,2026-08-01,2026-08-22,0.925,0.981
13,GA,2026-08-01,2026-08-22,0.934,0.987
15,HI,2026-08-01,2026-08-22,0.925,0.985
16,ID,2026-08-01,2026-08-22,0.914,0.983
17,IL,2026-08-01,2026-08-22,0.951,0.99
18,IN,2026-08-01,2026-08-22,0.854,0.969
19,IA,2026-08-01,2026-08-22,0.875,0.976
20,KS,2026-08-01,2026-08-22,0.902,0.981
21,KY,2026-08-01,2026-08-22,0.865,0.973
22,LA,2026-08-01,2026-08-22,0.942,0.987
23,ME,2026-08-01,2026-08-22,0.9,0.98
24,MD,2026-08-01,2026-08-22,0.914,0.983
25,MA,2026-08-01,2026-08-22,0.914,0.983
26,MI,2026-08-01,2026-08-22,0.967,0.993
27,MN,2026-08-01,2026-08-22,0.879,0.977
28,MS,2026-08-01,2026-08-22,0.989,0.998
29,MO,2026-08-01,2026-08-22,0.906,0.982
30,MT,2026-08-01,2026-08-22,0.906,0.981
31,NE,2026-08-01,2026-08-22,0.906,0.981
32,NV,2026-08-01,2026-08-22,0.935,0.987
33,NH,2026-08-01,2026-08-22,0.914,0.983
34,NJ,2026-08-01,2026-08-22,0.959,0.992
35,NM,2026-08-01,2026-08-22,0.893,0.979
36,NY,2026-08-01,2026-08-22,0.951,0.99
37,NC,2026-08-01,2026-08-22,0.943,0.99
38,ND,2026-08-01,2026-08-22,0.914,0.983
39,OH,2026-08-01,2026-08-22,0.935,0.987
40,OK,2026-08-01,2026-08-22,0.88,0.978
41,OR,2026-08-01,2026-08-22,0.852,0.973
42,PA,2026-08-01,2026-08-22,0.984,0.997
44,RI,2026-08-01,2026-08-22,0.904,0.981
45,SC,2026-08-01,2026-08-22,0.922,0.984
46,SD,2026-08-01,2026-08-22,0.914,0.983
47,TN,2026-08-01,2026-08-22,0.944,0.989
48,TX,2026-08-01,2026-08-22,0.883,0.955
49,UT,2026-08-01,2026-08-22,0.922,0.984
50,VT,2026-08-01,2026-08-22,0.887,0.978
51,VA,2026-08-01,2026-08-22,0.901,0.982
53,WA,2026-08-01,2026-08-22,0.919,0.984
54,WV,2026-08-01,2026-08-22,0.914,0.983
55,WI,2026-08-01,2026-08-22,0.924,0.985
56,WY,2026-08-01,2026-08-22,0.909,0.982
72,PR,2026-08-01,2026-08-22,0.965,0.993
