fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-02-14,2026-03-07,0.903,0.992
1,AL,2026-02-14,2026-03-07,0.546,0.999
2,AK,2026-02-14,2026-03-07,0.884,0.979
4,AZ,2026-02-14,2026-03-07,0.95,0.996
5,AR,2026-02-14,2026-03-07,0.874,0.989
6,CA,2026-02-14,2026-03-07,0.848,0.998
8,CO,2026-02-14,2026-03-07,0.982,0.997
9,CT,2026-02-14,2026-03-07,0.963,0.993
10,DE,2026-02-14,2026-03-07,0.789,0.928
11,DC,2026-02-14,2026-03-07,0.797,0.967
12,FL,2026-02-14,2026-03-07,0.867,0.98
13,GA,2026-02-14,2026-03-07,0.938,0.988
15,HI,2026-02-14,2026-03-07,0.917,0.985
16,ID,2026-02-14,2026-03-07,0.876,0.988
17,IL,2026-02-14,2026-03-07,0.947,0.988
18,IN,2026-02-14,2026-03-07,0.896,0.991
19,IA,2026-02-14,2026-03-07,0.905,0.988
20,KS,2026-02-14,2026-03-07,0.932,0.989
21,KY,2026-02-14,2026-03-07,0.881,0.976
22,LA,2026-02-14,2026-03-07,0.831,0.991
23,ME,2026-02-14,2026-03-07,0.87,0.969
24,MD,2026-02-14,2026-03-07,0.912,0.984
25,MA,2026-02-14,2026-03-07,0.896,0.987
26,MI,2026-02-14,2026-03-07,0.931,0.984
27,MN,2026-02-14,2026-03-07,0.986,0.998
28,MS,2026-02-14,2026-03-07,0.888,0.981
29,MO,2026-02-14,2026-03-07,0.82,0.993
30,MT,2026-02-14,2026-03-07,0.856,0.969
31,NE,2026-02-14,2026-03-07,0.925,0.983
32,NV,2026-02-14,2026-03-07,0.881,0.982
33,NH,2026-02-14,2026-03-07,0.815,0.975
34,NJ,2026-02-14,2026-03-07,0.995,0.999
35,NM,2026-02-14,2026-03-07,1.0,0.887
36,NY,2026-02-14,2026-03-07,0.828,0.975
37,NC,2026-02-14,2026-03-07,0.963,0.995
38,ND,2026-02-14,2026-03-07,0.939,0.989
39,OH,2026-02-14,2026-03-07,0.954,0.995
40,OK,2026-02-14,2026-03-07,0.861,0.986
41,OR,2026-02-14,2026-03-07,0.825,0.975
42,PA,2026-02-14,2026-03-07,0.996,1.0
44,RI,2026-02-14,2026-03-07,0.922,0.986
45,SC,2026-02-14,2026-03-07,0.976,0.994
46,SD,2026-02-14,2026-03-07,0.896,0.985
47,TN,2026-02-14,2026-03-07,0.988,0.998
48,TX,2026-02-14,2026-03-07,0.917,0.984
49,UT,2026-02-14,2026-03-07,0.964,0.993
50,VT,2026-02-14,2026-03-07,0.912,0.984
51,VA,2026-02-14,2026-03-07,0.956,0.995
53,WA,2026-02-14,2026-03-07,0.981,0.997
54,WV,2026-02-14,2026-03-07,0.973,0.992
55,WI,2026-02-14,2026-03-07,0.966,0.995
56,WY,2026-02-14,2026-03-07,0.914,0.98
72,PR,2026-02-14,2026-03-07,0.995,0.999
