fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-01-17,2026-02-07,0.885,0.984
1,AL,2026-01-17,2026-02-07,0.76,0.982
2,AK,2026-01-17,2026-02-07,0.813,0.954
4,AZ,2026-01-17,2026-02-07,0.925,0.993
5,AR,2026-01-17,2026-02-07,0.832,0.946
6,CA,2026-01-17,2026-02-07,0.877,0.994
8,CO,2026-01-17,2026-02-07,0.921,0.993
9,CT,2026-01-17,2026-02-07,0.974,0.996
10,DE,2026-01-17,2026-02-07,0.971,0.995
11,DC,2026-01-17,2026-02-07,0.804,0.963
12,FL,2026-01-17,2026-02-07,0.823,0.993
13,GA,2026-01-17,2026-02-07,0.843,0.99
15,HI,2026-01-17,2026-02-07,0.887,0.983
16,ID,2026-01-17,2026-02-07,0.902,0.988
17,IL,2026-01-17,2026-02-07,0.948,0.989
18,IN,2026-01-17,2026-02-07,0.849,0.958
19,IA,2026-01-17,2026-02-07,0.912,0.987
20,KS,2026-01-17,2026-02-07,0.897,0.978
21,KY,2026-01-17,2026-02-07,0.918,0.99
22,LA,2026-01-17,2026-02-07,0.881,0.992
23,ME,2026-01-17,2026-02-07,0.891,0.978
24,MD,2026-01-17,2026-02-07,0.899,0.985
25,MA,2026-01-17,2026-02-07,0.925,0.994
26,MI,2026-01-17,2026-02-07,0.887,0.964
27,MN,2026-01-17,2026-02-07,0.976,0.997
28,MS,2026-01-17,2026-02-07,0.919,0.978
29,MO,2026-01-17,2026-02-07,0.691,0.885
30,MT,2026-01-17,2026-02-07,0.818,0.972
31,NE,2026-01-17,2026-02-07,0.9,0.979
32,NV,2026-01-17,2026-02-07,0.839,0.987
33,NH,2026-01-17,2026-02-07,0.862,0.969
34,NJ,2026-01-17,2026-02-07,0.993,0.999
35,NM,2026-01-17,2026-02-07,0.961,0.993
36,NY,2026-01-17,2026-02-07,0.807,0.972
37,NC,2026-01-17,2026-02-07,0.964,0.997
38,ND,2026-01-17,2026-02-07,1.0,1.0
39,OH,2026-01-17,2026-02-07,0.922,0.997
40,OK,2026-01-17,2026-02-07,0.705,0.915
41,OR,2026-01-17,2026-02-07,0.688,0.934
42,PA,2026-01-17,2026-02-07,0.952,0.994
44,RI,2026-01-17,2026-02-07,0.887,0.966
45,SC,2026-01-17,2026-02-07,0.819,0.981
46,SD,2026-01-17,2026-02-07,0.718,0.895
47,TN,2026-01-17,2026-02-07,0.913,0.995
48,TX,2026-01-17,2026-02-07,0.911,0.991
49,UT,2026-01-17,2026-02-07,0.831,0.981
50,VT,2026-01-17,2026-02-07,0.908,0.985
51,VA,2026-01-17,2026-02-07,0.924,0.99
53,WA,2026-01-17,2026-02-07,1.0,1.0
54,WV,2026-01-17,2026-02-07,0.873,0.94
55,WI,2026-01-17,2026-02-07,0.921,0.99
56,WY,2026-01-17,2026-02-07,0.926,0.986
72,PR,2026-01-17,2026-02-07,1.0,0.998
