fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-03-07,2026-03-28,0.918,0.991
1,AL,2026-03-07,2026-03-28,0.82,0.994
2,AK,2026-03-07,2026-03-28,0.943,0.989
4,AZ,2026-03-07,2026-03-28,0.953,0.994
5,AR,2026-03-07,2026-03-28,0.907,0.985
6,CA,2026-03-07,2026-03-28,0.87,0.992
8,CO,2026-03-07,2026-03-28,0.969,0.994
9,CT,2026-03-07,2026-03-28,0.954,0.991
10,DE,2026-03-07,2026-03-28,0.959,0.992
11,DC,2026-03-07,2026-03-28,0.831,0.97
12,FL,2026-03-07,2026-03-28,0.863,0.982
13,GA,2026-03-07,2026-03-28,0.831,0.958
15,HI,2026-03-07,2026-03-28,0.895,0.976
16,ID,2026-03-07,2026-03-28,0.745,0.978
17,IL,2026-03-07,2026-03-28,0.95,0.99
18,IN,2026-03-07,2026-03-28,0.937,0.99
19,IA,2026-03-07,2026-03-28,0.919,0.989
20,KS,2026-03-07,2026-03-28,0.931,0.987
21,KY,2026-03-07,2026-03-28,0.876,0.99
22,LA,2026-03-07,2026-03-28,0.91,0.99
23,ME,2026-03-07,2026-03-28,0.907,0.984
24,MD,2026-03-07,2026-03-28,0.967,0.994
25,MA,2026-03-07,2026-03-28,0.908,0.987
26,MI,2026-03-07,2026-03-28,0.952,0.99
27,MN,2026-03-07,2026-03-28,0.979,0.995
28,MS,2026-03-07,2026-03-28,0.885,0.977
29,MO,2026-03-07,2026-03-28,0.885,0.991
30,MT,2026-03-07,2026-03-28,0.903,0.975
31,NE,2026-03-07,2026-03-28,0.9,0.979
32,NV,2026-03-07,2026-03-28,0.874,0.984
33,NH,2026-03-07,2026-03-28,0.878,0.981
34,NJ,2026-03-07,2026-03-28,0.995,0.999
35,NM,2026-03-07,2026-03-28,0.889,0.98
36,NY,2026-03-07,2026-03-28,0.887,0.98
37,NC,2026-03-07,2026-03-28,0.942,0.992
38,ND,2026-03-07,2026-03-28,0.942,0.989
39,OH,2026-03-07,2026-03-28,0.922,0.991
40,OK,2026-03-07,2026-03-28,0.947,0.988
41,OR,2026-03-07,2026-03-28,0.707,0.946
42,PA,2026-03-07,2026-03-28,1.0,1.0
44,RI,2026-03-07,2026-03-28,0.948,0.99
45,SC,2026-03-07,2026-03-28,0.949,0.987
46,SD,2026-03-07,2026-03-28,0.953,0.991
47,TN,2026-03-07,2026-03-28,0.925,0.992
48,TX,2026-03-07,2026-03-28,0.926,0.969
49,UT,2026-03-07,2026-03-28,0.966,0.993
50,VT,2026-03-07,2026-03-28,0.869,0.977
51,VA,2026-03-07,2026-03-28,0.916,0.99
53,WA,2026-03-07,2026-03-28,1.0,1.0
54,WV,2026-03-07,2026-03-28,0.693,0.968
55,WI,2026-03-07,2026-03-28,0.951,0.992
56,WY,2026-03-07,2026-03-28,0.886,0.979
72,PR,2026-03-07,2026-03-28,0.964,0.99
