fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2025-12-20,2026-01-10,0.921,0.989
1,AL,2025-12-20,2026-01-10,0.956,0.996
2,AK,2025-12-20,2026-01-10,0.877,0.96
4,AZ,2025-12-20,2026-01-10,0.987,0.998
5,AR,2025-12-20,2026-01-10,0.97,0.995
6,CA,2025-12-20,2026-01-10,0.906,0.986
8,CO,2025-12-20,2026-01-10,0.946,0.997
9,CT,2025-12-20,2026-01-10,0.988,0.998
10,DE,2025-12-20,2026-01-10,0.917,0.992
11,DC,2025-12-20,2026-01-10,0.85,0.985
12,FL,2025-12-20,2026-01-10,0.899,0.99
13,GA,2025-12-20,2026-01-10,0.823,0.993
15,HI,2025-12-20,2026-01-10,0.937,0.991
16,ID,2025-12-20,2026-01-10,0.924,0.979
17,IL,2025-12-20,2026-01-10,0.957,0.992
18,IN,2025-12-20,2026-01-10,0.89,0.985
19,IA,2025-12-20,2026-01-10,0.91,0.986
20,KS,2025-12-20,2026-01-10,0.908,0.989
21,KY,2025-12-20,2026-01-10,0.809,0.986
22,LA,2025-12-20,2026-01-10,0.859,0.992
23,ME,2025-12-20,2026-01-10,0.976,0.996
24,MD,2025-12-20,2026-01-10,0.898,0.963
25,MA,2025-12-20,2026-01-10,0.938,0.998
26,MI,2025-12-20,2026-01-10,0.973,0.997
27,MN,2025-12-20,2026-01-10,0.965,0.997
28,MS,2025-12-20,2026-01-10,0.966,0.995
29,MO,2025-12-20,2026-01-10,0.927,0.992
30,MT,2025-12-20,2026-01-10,0.933,0.988
31,NE,2025-12-20,2026-01-10,0.877,0.984
32,NV,2025-12-20,2026-01-10,0.877,0.981
33,NH,2025-12-20,2026-01-10,0.866,0.96
34,NJ,2025-12-20,2026-01-10,0.996,0.999
35,NM,2025-12-20,2026-01-10,0.917,0.994
36,NY,2025-12-20,2026-01-10,0.849,0.955
37,NC,2025-12-20,2026-01-10,0.923,0.999
38,ND,2025-12-20,2026-01-10,0.911,0.988
39,OH,2025-12-20,2026-01-10,0.952,0.998
40,OK,2025-12-20,2026-01-10,0.797,0.957
41,OR,2025-12-20,2026-01-10,0.799,0.961
42,PA,2025-12-20,2026-01-10,0.932,0.997
44,RI,2025-12-20,2026-01-10,0.994,0.999
45,SC,2025-12-20,2026-01-10,0.969,0.991
46,SD,2025-12-20,2026-01-10,0.91,0.987
47,TN,2025-12-20,2026-01-10,0.987,0.998
48,TX,2025-12-20,2026-01-10,0.922,0.993
49,UT,2025-12-20,2026-01-10,0.982,0.997
50,VT,2025-12-20,2026-01-10,0.868,0.976
51,VA,2025-12-20,2026-01-10,0.967,0.995
53,WA,2025-12-20,2026-01-10,0.996,0.999
54,WV,2025-12-20,2026-01-10,0.835,0.988
55,WI,2025-12-20,2026-01-10,0.959,0.998
56,WY,2025-12-20,2026-01-10,0.888,0.974
72,PR,2025-12-20,2026-01-10,0.937,0.971
