fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2025-12-27,2026-01-17,0.92,0.989
1,AL,2025-12-27,2026-01-17,0.955,0.991
2,AK,2025-12-27,2026-01-17,0.861,0.955
4,AZ,2025-12-27,2026-01-17,0.976,0.997
5,AR,2025-12-27,2026-01-17,0.905,0.964
6,CA,2025-12-27,2026-01-17,0.909,0.989
8,CO,2025-12-27,2026-01-17,0.941,0.997
9,CT,2025-12-27,2026-01-17,0.984,0.998
10,DE,2025-12-27,2026-01-17,0.92,0.993
11,DC,2025-12-27,2026-01-17,0.848,0.979
12,FL,2025-12-27,2026-01-17,0.887,0.988
13,GA,2025-12-27,2026-01-17,0.859,0.992
15,HI,2025-12-27,2026-01-17,0.942,0.991
16,ID,2025-12-27,2026-01-17,0.92,0.986
17,IL,2025-12-27,2026-01-17,0.955,0.991
18,IN,2025-12-27,2026-01-17,0.88,0.995
19,IA,2025-12-27,2026-01-17,0.914,0.987
20,KS,2025-12-27,2026-01-17,0.913,0.988
21,KY,2025-12-27,2026-01-17,0.842,0.995
22,LA,2025-12-27,2026-01-17,0.848,0.991
23,ME,2025-12-27,2026-01-17,0.974,0.996
24,MD,2025-12-27,2026-01-17,0.888,0.967
25,MA,2025-12-27,2026-01-17,0.927,0.998
26,MI,2025-12-27,2026-01-17,0.983,0.997
27,MN,2025-12-27,2026-01-17,0.956,0.997
28,MS,2025-12-27,2026-01-17,0.97,0.996
29,MO,2025-12-27,2026-01-17,0.859,0.922
30,MT,2025-12-27,2026-01-17,0.947,0.99
31,NE,2025-12-27,2026-01-17,0.843,0.976
32,NV,2025-12-27,2026-01-17,0.884,0.984
33,NH,2025-12-27,2026-01-17,0.887,0.964
34,NJ,2025-12-27,2026-01-17,0.994,0.998
35,NM,2025-12-27,2026-01-17,0.912,0.992
36,NY,2025-12-27,2026-01-17,0.866,0.974
37,NC,2025-12-27,2026-01-17,0.935,0.999
38,ND,2025-12-27,2026-01-17,0.949,1.0
39,OH,2025-12-27,2026-01-17,0.946,0.998
40,OK,2025-12-27,2026-01-17,0.786,0.954
41,OR,2025-12-27,2026-01-17,0.798,0.969
42,PA,2025-12-27,2026-01-17,0.931,0.996
44,RI,2025-12-27,2026-01-17,0.977,0.992
45,SC,2025-12-27,2026-01-17,0.937,0.99
46,SD,2025-12-27,2026-01-17,0.797,0.915
47,TN,2025-12-27,2026-01-17,0.985,0.998
48,TX,2025-12-27,2026-01-17,0.913,0.992
49,UT,2025-12-27,2026-01-17,0.978,0.996
50,VT,2025-12-27,2026-01-17,0.876,0.978
51,VA,2025-12-27,2026-01-17,0.964,0.995
53,WA,2025-12-27,2026-01-17,0.96,0.993
54,WV,2025-12-27,2026-01-17,0.786,0.933
55,WI,2025-12-27,2026-01-17,0.971,0.996
56,WY,2025-12-27,2026-01-17,0.891,0.974
72,PR,2025-12-27,2026-01-17,0.932,0.971
