fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-16,2026-06-06,0.901,0.984
1,AL,2026-05-16,2026-06-06,0.713,0.962
2,AK,2026-05-16,2026-06-06,0.891,0.979
4,AZ,2026-05-16,2026-06-06,0.901,0.986
5,AR,2026-05-16,2026-06-06,0.883,0.978
6,CA,2026-05-16,2026-06-06,0.895,0.989
8,CO,2026-05-16,2026-06-06,0.929,0.986
9,CT,2026-05-16,2026-06-06,0.934,0.987
10,DE,2026-05-16,2026-06-06,0.897,0.98
11,DC,2026-05-16,2026-06-06,0.789,0.963
12,FL,2026-05-16,2026-06-06,0.878,0.972
13,GA,2026-05-16,2026-06-06,0.847,0.972
15,HI,2026-05-16,2026-06-06,0.913,0.98
16,ID,2026-05-16,2026-06-06,0.87,0.976
17,IL,2026-05-16,2026-06-06,0.657,0.967
18,IN,2026-05-16,2026-06-06,0.893,0.981
19,IA,2026-05-16,2026-06-06,0.871,0.976
20,KS,2026-05-16,2026-06-06,0.877,0.972
21,KY,2026-05-16,2026-06-06,0.767,0.943
22,LA,2026-05-16,2026-06-06,0.94,0.988
23,ME,2026-05-16,2026-06-06,0.9,0.98
24,MD,2026-05-16,2026-06-06,0.933,0.987
25,MA,2026-05-16,2026-06-06,0.92,0.985
26,MI,2026-05-16,2026-06-06,0.904,0.983
27,MN,2026-05-16,2026-06-06,0.946,0.989
28,MS,2026-05-16,2026-06-06,0.849,0.974
29,MO,2026-05-16,2026-06-06,0.918,0.985
30,MT,2026-05-16,2026-06-06,0.909,0.982
31,NE,2026-05-16,2026-06-06,0.887,0.978
32,NV,2026-05-16,2026-06-06,0.865,0.971
33,NH,2026-05-16,2026-06-06,0.915,0.983
34,NJ,2026-05-16,2026-06-06,1.0,1.0
35,NM,2026-05-16,2026-06-06,0.891,0.977
36,NY,2026-05-16,2026-06-06,0.872,0.966
37,NC,2026-05-16,2026-06-06,0.928,0.985
38,ND,2026-05-16,2026-06-06,0.895,0.976
39,OH,2026-05-16,2026-06-06,0.929,0.987
40,OK,2026-05-16,2026-06-06,0.91,0.981
41,OR,2026-05-16,2026-06-06,0.863,0.97
42,PA,2026-05-16,2026-06-06,0.941,0.993
44,RI,2026-05-16,2026-06-06,0.896,0.98
45,SC,2026-05-16,2026-06-06,0.937,0.987
46,SD,2026-05-16,2026-06-06,0.898,0.98
47,TN,2026-05-16,2026-06-06,0.953,0.991
48,TX,2026-05-16,2026-06-06,0.911,0.969
49,UT,2026-05-16,2026-06-06,0.932,0.986
50,VT,2026-05-16,2026-06-06,0.904,0.981
51,VA,2026-05-16,2026-06-06,1.0,1.0
53,WA,2026-05-16,2026-06-06,0.939,0.988
54,WV,2026-05-16,2026-06-06,0.924,0.985
55,WI,2026-05-16,2026-06-06,0.897,0.98
56,WY,2026-05-16,2026-06-06,0.924,0.985
72,PR,2026-05-16,2026-06-06,0.997,0.999
