fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-07-18,2026-08-08,0.937,0.995
1,AL,2026-07-18,2026-08-08,0.9,0.981
2,AK,2026-07-18,2026-08-08,0.912,0.982
4,AZ,2026-07-18,2026-08-08,0.929,0.985
5,AR,2026-07-18,2026-08-08,0.887,0.978
6,CA,2026-07-18,2026-08-08,0.956,0.993
8,CO,2026-07-18,2026-08-08,0.921,0.984
9,CT,2026-07-18,2026-08-08,0.897,0.98
10,DE,2026-07-18,2026-08-08,0.875,0.976
11,DC,2026-07-18,2026-08-08,0.882,0.977
12,FL,2026-07-18,2026-08-08,0.927,0.985
13,GA,2026-07-18,2026-08-08,0.921,0.985
15,HI,2026-07-18,2026-08-08,0.924,0.985
16,ID,2026-07-18,2026-08-08,0.915,0.983
17,IL,2026-07-18,2026-08-08,0.925,0.986
18,IN,2026-07-18,2026-08-08,0.893,0.98
19,IA,2026-07-18,2026-08-08,0.902,0.98
20,KS,2026-07-18,2026-08-08,0.875,0.976
21,KY,2026-07-18,2026-08-08,0.861,0.968
22,LA,2026-07-18,2026-08-08,0.631,0.968
23,ME,2026-07-18,2026-08-08,0.902,0.98
24,MD,2026-07-18,2026-08-08,0.931,0.986
25,MA,2026-07-18,2026-08-08,0.911,0.982
26,MI,2026-07-18,2026-08-08,0.943,0.989
27,MN,2026-07-18,2026-08-08,0.912,0.982
28,MS,2026-07-18,2026-08-08,0.987,0.997
29,MO,2026-07-18,2026-08-08,0.905,0.982
30,MT,2026-07-18,2026-08-08,0.9,0.98
31,NE,2026-07-18,2026-08-08,0.907,0.981
32,NV,2026-07-18,2026-08-08,0.946,0.989
33,NH,2026-07-18,2026-08-08,0.897,0.98
34,NJ,2026-07-18,2026-08-08,0.954,0.991
35,NM,2026-07-18,2026-08-08,0.889,0.978
36,NY,2026-07-18,2026-08-08,0.933,0.986
37,NC,2026-07-18,2026-08-08,0.932,0.988
38,ND,2026-07-18,2026-08-08,0.915,0.983
39,OH,2026-07-18,2026-08-08,0.94,0.988
40,OK,2026-07-18,2026-08-08,0.899,0.981
41,OR,2026-07-18,2026-08-08,0.885,0.978
42,PA,2026-07-18,2026-08-08,0.989,0.998
44,RI,2026-07-18,2026-08-08,0.902,0.98
45,SC,2026-07-18,2026-08-08,0.924,0.985
46,SD,2026-07-18,2026-08-08,0.909,0.982
47,TN,2026-07-18,2026-08-08,0.929,0.987
48,TX,2026-07-18,2026-08-08,0.957,0.996
49,UT,2026-07-18,2026-08-08,0.919,0.984
50,VT,2026-07-18,2026-08-08,0.902,0.98
51,VA,2026-07-18,2026-08-08,0.909,0.983
53,WA,2026-07-18,2026-08-08,0.914,0.983
54,WV,2026-07-18,2026-08-08,0.909,0.982
55,WI,2026-07-18,2026-08-08,0.915,0.983
56,WY,2026-07-18,2026-08-08,0.902,0.98
72,PR,2026-07-18,2026-08-08,0.935,0.988
