fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-03-14,2026-04-04,0.923,0.991
1,AL,2026-03-14,2026-04-04,0.808,0.977
2,AK,2026-03-14,2026-04-04,0.938,0.988
4,AZ,2026-03-14,2026-04-04,0.96,0.994
5,AR,2026-03-14,2026-04-04,0.902,0.982
6,CA,2026-03-14,2026-04-04,0.863,0.994
8,CO,2026-03-14,2026-04-04,0.944,0.99
9,CT,2026-03-14,2026-04-04,0.948,0.991
10,DE,2026-03-14,2026-04-04,0.951,0.99
11,DC,2026-03-14,2026-04-04,0.833,0.97
12,FL,2026-03-14,2026-04-04,0.865,0.99
13,GA,2026-03-14,2026-04-04,0.863,0.96
15,HI,2026-03-14,2026-04-04,0.857,0.964
16,ID,2026-03-14,2026-04-04,0.73,0.976
17,IL,2026-03-14,2026-04-04,0.951,0.991
18,IN,2026-03-14,2026-04-04,0.925,0.988
19,IA,2026-03-14,2026-04-04,0.924,0.989
20,KS,2026-03-14,2026-04-04,0.954,0.991
21,KY,2026-03-14,2026-04-04,0.848,0.987
22,LA,2026-03-14,2026-04-04,0.943,0.991
23,ME,2026-03-14,2026-04-04,0.931,0.986
24,MD,2026-03-14,2026-04-04,0.948,0.99
25,MA,2026-03-14,2026-04-04,0.936,0.989
26,MI,2026-03-14,2026-04-04,0.959,0.992
27,MN,2026-03-14,2026-04-04,0.972,0.993
28,MS,2026-03-14,2026-04-04,0.892,0.974
29,MO,2026-03-14,2026-04-04,0.92,0.99
30,MT,2026-03-14,2026-04-04,0.907,0.98
31,NE,2026-03-14,2026-04-04,0.897,0.979
32,NV,2026-03-14,2026-04-04,0.917,0.987
33,NH,2026-03-14,2026-04-04,0.931,0.987
34,NJ,2026-03-14,2026-04-04,1.0,1.0
35,NM,2026-03-14,2026-04-04,0.894,0.98
36,NY,2026-03-14,2026-04-04,0.912,0.982
37,NC,2026-03-14,2026-04-04,0.98,0.996
38,ND,2026-03-14,2026-04-04,0.942,0.989
39,OH,2026-03-14,2026-04-04,0.897,0.991
40,OK,2026-03-14,2026-04-04,0.969,0.994
41,OR,2026-03-14,2026-04-04,0.752,0.942
42,PA,2026-03-14,2026-04-04,1.0,1.0
44,RI,2026-03-14,2026-04-04,0.939,0.988
45,SC,2026-03-14,2026-04-04,0.95,0.991
46,SD,2026-03-14,2026-04-04,0.95,0.99
47,TN,2026-03-14,2026-04-04,0.911,0.99
48,TX,2026-03-14,2026-04-04,0.965,0.973
49,UT,2026-03-14,2026-04-04,0.961,0.992
50,VT,2026-03-14,2026-04-04,0.855,0.974
51,VA,2026-03-14,2026-04-04,0.918,0.988
53,WA,2026-03-14,2026-04-04,1.0,1.0
54,WV,2026-03-14,2026-04-04,0.615,0.974
55,WI,2026-03-14,2026-04-04,0.942,0.992
56,WY,2026-03-14,2026-04-04,0.898,0.981
72,PR,2026-03-14,2026-04-04,0.963,0.99
