fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-08-08,2026-08-29,0.934,0.984
1,AL,2026-08-08,2026-08-29,0.889,0.981
2,AK,2026-08-08,2026-08-29,0.908,0.98
4,AZ,2026-08-08,2026-08-29,0.914,0.982
5,AR,2026-08-08,2026-08-29,0.875,0.974
6,CA,2026-08-08,2026-08-29,0.877,0.981
8,CO,2026-08-08,2026-08-29,0.892,0.977
9,CT,2026-08-08,2026-08-29,0.923,0.985
10,DE,2026-08-08,2026-08-29,0.907,0.981
11,DC,2026-08-08,2026-08-29,0.902,0.98
12,FL,2026-08-08,2026-08-29,0.922,0.982
13,GA,2026-08-08,2026-08-29,0.951,0.99
15,HI,2026-08-08,2026-08-29,0.908,0.982
16,ID,2026-08-08,2026-08-29,0.919,0.984
17,IL,2026-08-08,2026-08-29,0.946,0.989
18,IN,2026-08-08,2026-08-29,0.861,0.97
19,IA,2026-08-08,2026-08-29,0.887,0.978
20,KS,2026-08-08,2026-08-29,0.909,0.982
21,KY,2026-08-08,2026-08-29,0.864,0.966
22,LA,2026-08-08,2026-08-29,0.892,0.979
23,ME,2026-08-08,2026-08-29,0.902,0.98
24,MD,2026-08-08,2026-08-29,0.919,0.984
25,MA,2026-08-08,2026-08-29,0.918,0.984
26,MI,2026-08-08,2026-08-29,0.968,0.994
27,MN,2026-08-08,2026-08-29,0.905,0.981
28,MS,2026-08-08,2026-08-29,0.947,0.989
29,MO,2026-08-08,2026-08-29,0.905,0.983
30,MT,2026-08-08,2026-08-29,0.877,0.974
31,NE,2026-08-08,2026-08-29,0.906,0.981
32,NV,2026-08-08,2026-08-29,0.936,0.987
33,NH,2026-08-08,2026-08-29,0.912,0.982
34,NJ,2026-08-08,2026-08-29,0.955,0.991
35,NM,2026-08-08,2026-08-29,0.897,0.98
36,NY,2026-08-08,2026-08-29,0.938,0.986
37,NC,2026-08-08,2026-08-29,0.955,0.992
38,ND,2026-08-08,2026-08-29,0.911,0.982
39,OH,2026-08-08,2026-08-29,0.916,0.983
40,OK,2026-08-08,2026-08-29,0.877,0.977
41,OR,2026-08-08,2026-08-29,0.85,0.972
42,PA,2026-08-08,2026-08-29,0.985,0.997
44,RI,2026-08-08,2026-08-29,0.906,0.981
45,SC,2026-08-08,2026-08-29,0.914,0.982
46,SD,2026-08-08,2026-08-29,0.917,0.983
47,TN,2026-08-08,2026-08-29,0.956,0.991
48,TX,2026-08-08,2026-08-29,0.869,0.954
49,UT,2026-08-08,2026-08-29,0.929,0.986
50,VT,2026-08-08,2026-08-29,0.889,0.978
51,VA,2026-08-08,2026-08-29,0.894,0.981
53,WA,2026-08-08,2026-08-29,0.922,0.985
54,WV,2026-08-08,2026-08-29,0.909,0.982
55,WI,2026-08-08,2026-08-29,0.824,0.97
56,WY,2026-08-08,2026-08-29,0.909,0.982
72,PR,2026-08-08,2026-08-29,0.989,0.998
