fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-06-20,2026-07-11,0.927,0.99
1,AL,2026-06-20,2026-07-11,0.923,0.986
2,AK,2026-06-20,2026-07-11,0.914,0.983
4,AZ,2026-06-20,2026-07-11,0.866,0.978
5,AR,2026-06-20,2026-07-11,0.898,0.978
6,CA,2026-06-20,2026-07-11,0.918,0.989
8,CO,2026-06-20,2026-07-11,0.909,0.982
9,CT,2026-06-20,2026-07-11,0.912,0.982
10,DE,2026-06-20,2026-07-11,0.907,0.981
11,DC,2026-06-20,2026-07-11,0.862,0.974
12,FL,2026-06-20,2026-07-11,0.915,0.983
13,GA,2026-06-20,2026-07-11,0.887,0.976
15,HI,2026-06-20,2026-07-11,0.937,0.987
16,ID,2026-06-20,2026-07-11,0.853,0.968
17,IL,2026-06-20,2026-07-11,0.565,0.962
18,IN,2026-06-20,2026-07-11,0.897,0.981
19,IA,2026-06-20,2026-07-11,0.914,0.983
20,KS,2026-06-20,2026-07-11,0.864,0.974
21,KY,2026-06-20,2026-07-11,0.788,0.939
22,LA,2026-06-20,2026-07-11,0.921,0.986
23,ME,2026-06-20,2026-07-11,0.902,0.98
24,MD,2026-06-20,2026-07-11,0.907,0.982
25,MA,2026-06-20,2026-07-11,0.914,0.983
26,MI,2026-06-20,2026-07-11,0.933,0.987
27,MN,2026-06-20,2026-07-11,0.918,0.984
28,MS,2026-06-20,2026-07-11,0.907,0.982
29,MO,2026-06-20,2026-07-11,0.885,0.98
30,MT,2026-06-20,2026-07-11,0.814,0.95
31,NE,2026-06-20,2026-07-11,0.912,0.983
32,NV,2026-06-20,2026-07-11,0.872,0.971
33,NH,2026-06-20,2026-07-11,0.904,0.981
34,NJ,2026-06-20,2026-07-11,0.947,0.99
35,NM,2026-06-20,2026-07-11,0.889,0.978
36,NY,2026-06-20,2026-07-11,0.915,0.983
37,NC,2026-06-20,2026-07-11,0.921,0.983
38,ND,2026-06-20,2026-07-11,0.921,0.984
39,OH,2026-06-20,2026-07-11,0.877,0.978
40,OK,2026-06-20,2026-07-11,0.853,0.971
41,OR,2026-06-20,2026-07-11,0.885,0.978
42,PA,2026-06-20,2026-07-11,0.986,0.997
44,RI,2026-06-20,2026-07-11,0.882,0.977
45,SC,2026-06-20,2026-07-11,0.925,0.985
46,SD,2026-06-20,2026-07-11,0.906,0.981
47,TN,2026-06-20,2026-07-11,0.961,0.992
48,TX,2026-06-20,2026-07-11,1.0,1.0
49,UT,2026-06-20,2026-07-11,0.915,0.983
50,VT,2026-06-20,2026-07-11,0.9,0.98
51,VA,2026-06-20,2026-07-11,0.893,0.98
53,WA,2026-06-20,2026-07-11,1.0,1.0
54,WV,2026-06-20,2026-07-11,0.911,0.982
55,WI,2026-06-20,2026-07-11,0.905,0.981
56,WY,2026-06-20,2026-07-11,0.906,0.981
72,PR,2026-06-20,2026-07-11,0.992,0.999
