fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-23,2026-06-13,0.898,0.988
1,AL,2026-05-23,2026-06-13,0.697,0.963
2,AK,2026-05-23,2026-06-13,0.891,0.979
4,AZ,2026-05-23,2026-06-13,0.941,0.99
5,AR,2026-05-23,2026-06-13,0.899,0.98
6,CA,2026-05-23,2026-06-13,0.884,0.986
8,CO,2026-05-23,2026-06-13,0.922,0.985
9,CT,2026-05-23,2026-06-13,0.932,0.986
10,DE,2026-05-23,2026-06-13,0.926,0.985
11,DC,2026-05-23,2026-06-13,0.8,0.965
12,FL,2026-05-23,2026-06-13,0.896,0.988
13,GA,2026-05-23,2026-06-13,0.84,0.968
15,HI,2026-05-23,2026-06-13,0.932,0.987
16,ID,2026-05-23,2026-06-13,0.871,0.976
17,IL,2026-05-23,2026-06-13,0.658,0.965
18,IN,2026-05-23,2026-06-13,0.883,0.979
19,IA,2026-05-23,2026-06-13,0.833,0.97
20,KS,2026-05-23,2026-06-13,0.891,0.975
21,KY,2026-05-23,2026-06-13,0.77,0.961
22,LA,2026-05-23,2026-06-13,0.883,0.962
23,ME,2026-05-23,2026-06-13,0.877,0.976
24,MD,2026-05-23,2026-06-13,0.932,0.987
25,MA,2026-05-23,2026-06-13,0.905,0.982
26,MI,2026-05-23,2026-06-13,0.887,0.98
27,MN,2026-05-23,2026-06-13,0.936,0.987
28,MS,2026-05-23,2026-06-13,0.841,0.973
29,MO,2026-05-23,2026-06-13,0.857,0.976
30,MT,2026-05-23,2026-06-13,0.914,0.983
31,NE,2026-05-23,2026-06-13,0.9,0.98
32,NV,2026-05-23,2026-06-13,0.886,0.981
33,NH,2026-05-23,2026-06-13,0.897,0.98
34,NJ,2026-05-23,2026-06-13,0.979,0.996
35,NM,2026-05-23,2026-06-13,0.887,0.976
36,NY,2026-05-23,2026-06-13,0.888,0.978
37,NC,2026-05-23,2026-06-13,0.924,0.984
38,ND,2026-05-23,2026-06-13,0.889,0.975
39,OH,2026-05-23,2026-06-13,0.944,0.989
40,OK,2026-05-23,2026-06-13,0.911,0.982
41,OR,2026-05-23,2026-06-13,0.875,0.976
42,PA,2026-05-23,2026-06-13,0.94,0.992
44,RI,2026-05-23,2026-06-13,0.897,0.98
45,SC,2026-05-23,2026-06-13,0.937,0.987
46,SD,2026-05-23,2026-06-13,0.867,0.972
47,TN,2026-05-23,2026-06-13,0.95,0.991
48,TX,2026-05-23,2026-06-13,0.912,0.976
49,UT,2026-05-23,2026-06-13,0.93,0.986
50,VT,2026-05-23,2026-06-13,0.904,0.981
51,VA,2026-05-23,2026-06-13,0.982,0.996
53,WA,2026-05-23,2026-06-13,0.928,0.986
54,WV,2026-05-23,2026-06-13,0.922,0.984
55,WI,2026-05-23,2026-06-13,0.885,0.978
56,WY,2026-05-23,2026-06-13,0.914,0.983
72,PR,2026-05-23,2026-06-13,0.98,0.996
