fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-09,2026-05-30,0.909,0.985
1,AL,2026-05-09,2026-05-30,0.757,0.966
2,AK,2026-05-09,2026-05-30,0.911,0.982
4,AZ,2026-05-09,2026-05-30,0.888,0.981
5,AR,2026-05-09,2026-05-30,0.878,0.978
6,CA,2026-05-09,2026-05-30,0.876,0.989
8,CO,2026-05-09,2026-05-30,0.958,0.991
9,CT,2026-05-09,2026-05-30,0.94,0.988
10,DE,2026-05-09,2026-05-30,0.871,0.976
11,DC,2026-05-09,2026-05-30,0.804,0.965
12,FL,2026-05-09,2026-05-30,0.89,0.974
13,GA,2026-05-09,2026-05-30,0.888,0.978
15,HI,2026-05-09,2026-05-30,0.908,0.979
16,ID,2026-05-09,2026-05-30,0.878,0.977
17,IL,2026-05-09,2026-05-30,0.706,0.972
18,IN,2026-05-09,2026-05-30,0.896,0.982
19,IA,2026-05-09,2026-05-30,0.82,0.961
20,KS,2026-05-09,2026-05-30,0.862,0.969
21,KY,2026-05-09,2026-05-30,0.717,0.936
22,LA,2026-05-09,2026-05-30,0.952,0.991
23,ME,2026-05-09,2026-05-30,0.905,0.981
24,MD,2026-05-09,2026-05-30,0.935,0.987
25,MA,2026-05-09,2026-05-30,0.933,0.987
26,MI,2026-05-09,2026-05-30,0.907,0.984
27,MN,2026-05-09,2026-05-30,0.951,0.99
28,MS,2026-05-09,2026-05-30,0.864,0.977
29,MO,2026-05-09,2026-05-30,0.904,0.983
30,MT,2026-05-09,2026-05-30,0.917,0.983
31,NE,2026-05-09,2026-05-30,0.867,0.97
32,NV,2026-05-09,2026-05-30,0.893,0.977
33,NH,2026-05-09,2026-05-30,0.897,0.98
34,NJ,2026-05-09,2026-05-30,1.0,1.0
35,NM,2026-05-09,2026-05-30,0.904,0.98
36,NY,2026-05-09,2026-05-30,0.859,0.966
37,NC,2026-05-09,2026-05-30,0.925,0.984
38,ND,2026-05-09,2026-05-30,0.896,0.976
39,OH,2026-05-09,2026-05-30,0.93,0.987
40,OK,2026-05-09,2026-05-30,0.893,0.976
41,OR,2026-05-09,2026-05-30,0.892,0.976
42,PA,2026-05-09,2026-05-30,0.948,0.994
44,RI,2026-05-09,2026-05-30,0.89,0.977
45,SC,2026-05-09,2026-05-30,0.94,0.988
46,SD,2026-05-09,2026-05-30,0.891,0.979
47,TN,2026-05-09,2026-05-30,0.954,0.991
48,TX,2026-05-09,2026-05-30,0.946,0.985
49,UT,2026-05-09,2026-05-30,0.92,0.984
50,VT,2026-05-09,2026-05-30,0.906,0.981
51,VA,2026-05-09,2026-05-30,1.0,1.0
53,WA,2026-05-09,2026-05-30,0.955,0.991
54,WV,2026-05-09,2026-05-30,0.922,0.984
55,WI,2026-05-09,2026-05-30,0.868,0.975
56,WY,2026-05-09,2026-05-30,0.929,0.986
72,PR,2026-05-09,2026-05-30,1.0,1.0
