fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-06-13,2026-07-04,0.934,0.985
1,AL,2026-06-13,2026-07-04,0.895,0.982
2,AK,2026-06-13,2026-07-04,0.909,0.982
4,AZ,2026-06-13,2026-07-04,0.844,0.976
5,AR,2026-06-13,2026-07-04,0.895,0.977
6,CA,2026-06-13,2026-07-04,0.905,0.987
8,CO,2026-06-13,2026-07-04,0.909,0.982
9,CT,2026-06-13,2026-07-04,0.915,0.983
10,DE,2026-06-13,2026-07-04,0.909,0.982
11,DC,2026-06-13,2026-07-04,0.85,0.972
12,FL,2026-06-13,2026-07-04,0.896,0.982
13,GA,2026-06-13,2026-07-04,0.874,0.973
15,HI,2026-06-13,2026-07-04,0.935,0.987
16,ID,2026-06-13,2026-07-04,0.892,0.975
17,IL,2026-06-13,2026-07-04,0.917,0.984
18,IN,2026-06-13,2026-07-04,0.902,0.982
19,IA,2026-06-13,2026-07-04,0.879,0.977
20,KS,2026-06-13,2026-07-04,0.879,0.977
21,KY,2026-06-13,2026-07-04,0.747,0.93
22,LA,2026-06-13,2026-07-04,0.85,0.955
23,ME,2026-06-13,2026-07-04,0.885,0.977
24,MD,2026-06-13,2026-07-04,0.928,0.986
25,MA,2026-06-13,2026-07-04,0.915,0.983
26,MI,2026-06-13,2026-07-04,0.935,0.987
27,MN,2026-06-13,2026-07-04,0.917,0.983
28,MS,2026-06-13,2026-07-04,0.892,0.98
29,MO,2026-06-13,2026-07-04,0.859,0.976
30,MT,2026-06-13,2026-07-04,0.841,0.957
31,NE,2026-06-13,2026-07-04,0.909,0.982
32,NV,2026-06-13,2026-07-04,0.891,0.975
33,NH,2026-06-13,2026-07-04,0.887,0.978
34,NJ,2026-06-13,2026-07-04,0.951,0.99
35,NM,2026-06-13,2026-07-04,0.893,0.979
36,NY,2026-06-13,2026-07-04,0.921,0.984
37,NC,2026-06-13,2026-07-04,0.924,0.984
38,ND,2026-06-13,2026-07-04,0.921,0.984
39,OH,2026-06-13,2026-07-04,0.902,0.982
40,OK,2026-06-13,2026-07-04,0.862,0.973
41,OR,2026-06-13,2026-07-04,0.902,0.981
42,PA,2026-06-13,2026-07-04,0.985,0.997
44,RI,2026-06-13,2026-07-04,0.865,0.974
45,SC,2026-06-13,2026-07-04,0.93,0.986
46,SD,2026-06-13,2026-07-04,0.875,0.976
47,TN,2026-06-13,2026-07-04,0.955,0.991
48,TX,2026-06-13,2026-07-04,1.0,1.0
49,UT,2026-06-13,2026-07-04,0.918,0.984
50,VT,2026-06-13,2026-07-04,0.9,0.98
51,VA,2026-06-13,2026-07-04,0.91,0.983
53,WA,2026-06-13,2026-07-04,1.0,1.0
54,WV,2026-06-13,2026-07-04,0.914,0.983
55,WI,2026-06-13,2026-07-04,0.895,0.979
56,WY,2026-06-13,2026-07-04,0.906,0.981
72,PR,2026-06-13,2026-07-04,0.963,0.993
