fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-04-25,2026-05-16,0.909,0.975
1,AL,2026-04-25,2026-05-16,0.873,0.978
2,AK,2026-04-25,2026-05-16,0.919,0.984
4,AZ,2026-04-25,2026-05-16,0.904,0.983
5,AR,2026-04-25,2026-05-16,0.825,0.967
6,CA,2026-04-25,2026-05-16,0.931,0.994
8,CO,2026-04-25,2026-05-16,1.0,1.0
9,CT,2026-04-25,2026-05-16,0.944,0.989
10,DE,2026-04-25,2026-05-16,0.841,0.972
11,DC,2026-04-25,2026-05-16,0.87,0.975
12,FL,2026-04-25,2026-05-16,0.897,0.975
13,GA,2026-04-25,2026-05-16,0.894,0.982
15,HI,2026-04-25,2026-05-16,0.912,0.979
16,ID,2026-04-25,2026-05-16,0.912,0.983
17,IL,2026-04-25,2026-05-16,0.928,0.985
18,IN,2026-04-25,2026-05-16,0.922,0.983
19,IA,2026-04-25,2026-05-16,0.885,0.975
20,KS,2026-04-25,2026-05-16,0.87,0.976
21,KY,2026-04-25,2026-05-16,0.748,0.93
22,LA,2026-04-25,2026-05-16,0.94,0.989
23,ME,2026-04-25,2026-05-16,0.918,0.984
24,MD,2026-04-25,2026-05-16,0.953,0.991
25,MA,2026-04-25,2026-05-16,0.944,0.989
26,MI,2026-04-25,2026-05-16,0.91,0.973
27,MN,2026-04-25,2026-05-16,0.986,0.997
28,MS,2026-04-25,2026-05-16,0.876,0.976
29,MO,2026-04-25,2026-05-16,0.865,0.977
30,MT,2026-04-25,2026-05-16,0.902,0.981
31,NE,2026-04-25,2026-05-16,0.88,0.973
32,NV,2026-04-25,2026-05-16,0.878,0.976
33,NH,2026-04-25,2026-05-16,0.9,0.98
34,NJ,2026-04-25,2026-05-16,1.0,1.0
35,NM,2026-04-25,2026-05-16,0.905,0.982
36,NY,2026-04-25,2026-05-16,0.872,0.962
37,NC,2026-04-25,2026-05-16,0.942,0.989
38,ND,2026-04-25,2026-05-16,0.861,0.965
39,OH,2026-04-25,2026-05-16,0.94,0.989
40,OK,2026-04-25,2026-05-16,0.915,0.982
41,OR,2026-04-25,2026-05-16,0.888,0.976
42,PA,2026-04-25,2026-05-16,0.765,0.931
44,RI,2026-04-25,2026-05-16,0.892,0.978
45,SC,2026-04-25,2026-05-16,0.946,0.989
46,SD,2026-04-25,2026-05-16,0.889,0.981
47,TN,2026-04-25,2026-05-16,0.946,0.989
48,TX,2026-04-25,2026-05-16,0.944,0.985
49,UT,2026-04-25,2026-05-16,0.934,0.987
50,VT,2026-04-25,2026-05-16,0.887,0.978
51,VA,2026-04-25,2026-05-16,1.0,1.0
53,WA,2026-04-25,2026-05-16,0.971,0.994
54,WV,2026-04-25,2026-05-16,0.939,0.988
55,WI,2026-04-25,2026-05-16,0.871,0.971
56,WY,2026-04-25,2026-05-16,0.897,0.978
72,PR,2026-04-25,2026-05-16,1.0,1.0
