fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean,p_02_median,p_12_median,p_02_low_95,p_12_low_95,p_12_high_95,p_12_high_95
0,USA,2025-11-15,2025-12-06,0.9239579318319476,0.9838381617283272,0.9239734945986027,0.9838558904898687,0.920058992193289,0.9819559524154269,0.9856196259686566,0.9856196259686566
1,AL,2025-11-15,2025-12-06,0.8762376237623762,0.9956896551724138,0.8774798335180453,0.9970038602668657,0.8275632928753085,0.9841576561234423,0.9998904051055943,0.9998904051055943
2,AK,2025-11-15,2025-12-06,0.7111111111111111,0.9733333333333334,0.7142624091034491,0.9774232792403441,0.5721035875444995,0.9269926114903352,0.9967099772818934,0.9967099772818934
4,AZ,2025-11-15,2025-12-06,0.9367816091954023,0.9852941176470589,0.9384512454681453,0.9868491355155483,0.8962682246248335,0.9648654663693675,0.9969419232995206,0.9969419232995206
5,AR,2025-11-15,2025-12-06,1.0,1.0,,,,,,
6,CA,2025-11-15,2025-12-06,0.9015151515151515,0.9963503649635036,0.9018531127489515,0.9967442595939681,0.8798387576663285,0.9912280926850217,0.9992458059169104,0.9992458059169104
8,CO,2025-11-15,2025-12-06,0.9737827715355806,0.9946808510638298,0.9743723235244796,0.995253179118082,0.9586530561059834,0.987226922914681,0.9988997642858121,0.9988997642858121
9,CT,2025-11-15,2025-12-06,0.6015325670498084,0.6563573883161512,0.6017922962440287,0.6567160552523388,0.5415650549017809,0.6009133476685204,0.7097655980320514,0.7097655980320514
10,DE,2025-11-15,2025-12-06,0.7272727272727273,0.8588235294117647,0.7300441569610452,0.8616421856166224,0.6034552975929248,0.7777590387260145,0.9239462935674037,0.9239462935674037
11,DC,2025-11-15,2025-12-06,0.7777777777777778,0.990990990990991,0.7800721191027281,0.9937184737897888,0.6817141914403442,0.9670208059677803,0.9997698645944497,0.9997698645944497
12,FL,2025-11-15,2025-12-06,0.8775272161741835,0.9607993850883936,0.8776250750862832,0.9609174051968732,0.8645853929472695,0.9530149259363667,0.9679133075456988,0.9679133075456988
13,GA,2025-11-15,2025-12-06,0.8962075848303394,0.9811676082862524,0.8967348018100133,0.981768646310394,0.8680735394352805,0.9680100985129947,0.9909159331149785,0.9909159331149785
15,HI,2025-11-15,2025-12-06,0.9797297297297297,0.9943820224719101,0.9818507582652954,0.9960915720984416,0.9517181645204918,0.9793745485204233,0.9998569717663252,0.9998569717663252
16,ID,2025-11-15,2025-12-06,1.0,0.9868421052631579,,0.9889100487470673,,0.9636554453725441,0.9983919207714069,0.9983919207714069
17,IL,2025-11-15,2025-12-06,0.9077568134171907,0.9881656804733728,0.9083266117687304,0.9888015653565898,0.8802474131430706,0.9770916745939242,0.9956363392120823,0.9956363392120823
18,IN,2025-11-15,2025-12-06,0.9107692307692308,0.9549295774647887,0.9116115684574618,0.9557820416530349,0.8775221186255621,0.9310746122424903,0.9739481670402352,0.9739481670402352
19,IA,2025-11-15,2025-12-06,0.9324324324324325,0.9807692307692307,0.9363081155200872,0.9837589113053534,0.8656061656452405,0.9470917132597965,0.9976397420628914,0.9976397420628914
20,KS,2025-11-15,2025-12-06,0.9444444444444444,0.9705882352941176,0.9485248711774734,0.9736123130031855,0.8814449055470013,0.9302949102050756,0.9938321404564353,0.9938321404564353
21,KY,2025-11-15,2025-12-06,0.7717391304347826,0.9345794392523364,0.7727252856548645,0.9359309878241405,0.7085801392779395,0.897893153398131,0.9636031786467915,0.9636031786467915
22,LA,2025-11-15,2025-12-06,0.9531835205992509,0.99822695035461,0.9537485381579842,0.998769590292097,0.9337401956699626,0.9934692349954988,0.9999550315475512,0.9999550315475512
23,ME,2025-11-15,2025-12-06,0.9242424242424242,0.9791666666666666,0.928509506992775,0.9823961178527334,0.849866599329491,0.9427430194068642,0.9974401820139384,0.9974401820139384
24,MD,2025-11-15,2025-12-06,0.9534883720930233,0.9973262032085561,0.9543653533584775,0.9981434221436409,0.9288960552590355,0.9901589855823274,0.9999321261427186,0.9999321261427186
25,MA,2025-11-15,2025-12-06,0.7922077922077922,0.9970414201183432,0.7928408412029966,0.9979452972381749,0.7452308649095724,0.9891134621404046,0.9999248757953048,0.9999248757953048
26,MI,2025-11-15,2025-12-06,0.8974358974358975,0.9966996699669967,0.8984063789136124,0.9977074425934699,0.8588658980685413,0.9878594656173388,0.9999161697126825,0.9999161697126825
27,MN,2025-11-15,2025-12-06,0.9357429718875502,0.985663082437276,0.936907868509331,0.9868071020075304,0.9022024257617128,0.9687886970283969,0.9960660720795173,0.9960660720795173
28,MS,2025-11-15,2025-12-06,0.9583333333333334,0.9933333333333333,0.9608591123122607,0.9953588092664996,0.9161709907504949,0.97554637509441,0.9998300962608841,0.9998300962608841
29,MO,2025-11-15,2025-12-06,0.9521276595744681,0.9954128440366973,0.9537247954826567,0.9968108694758918,0.9174476629633807,0.9831442307821885,0.9998833348797096,0.9998833348797096
30,MT,2025-11-15,2025-12-06,0.9016393442622951,0.989010989010989,0.9060232250276979,0.9923279462629435,0.8161422166234142,0.9598410803842253,0.9997187305860573,0.9997187305860573
31,NE,2025-11-15,2025-12-06,0.9215686274509803,0.9876543209876543,0.9270502464925401,0.9913730874626621,0.8345180533962271,0.9549359649323077,0.9996835774723672,0.9996835774723672
32,NV,2025-11-15,2025-12-06,0.9354838709677419,0.991869918699187,0.9385917687286323,0.9943345751258,0.8777128644005314,0.9702158399385713,0.9997924985151471,0.9997924985151471
33,NH,2025-11-15,2025-12-06,0.8783783783783784,0.9807692307692307,0.881789798822288,0.9837589113053534,0.7954356791513938,0.9470917132597965,0.9976397420628914,0.9976397420628914
34,NJ,2025-11-15,2025-12-06,0.9982788296041308,0.9983633387888707,0.9988056324795305,0.9988643384987931,0.9936600458701595,0.9939709050102365,0.9999584962580512,0.9999584962580512
35,NM,2025-11-15,2025-12-06,0.9603174603174603,0.9935897435897436,0.9627328365171527,0.995538066839922,0.9200936224664793,0.9764817458514672,0.9998366726426925,0.9998366726426925
36,NY,2025-11-15,2025-12-06,0.8771856786011657,0.9884868421052632,0.877290368919061,0.9886204920040454,0.8637686830338869,0.9838814313813004,0.992333174222902,0.992333174222902
37,NC,2025-11-15,2025-12-06,0.8255813953488372,0.996268656716418,0.8258619084840062,0.9966713097386052,0.7980847578793798,0.9910321017983885,0.9992288853756432,0.9992288853756432
38,ND,2025-11-15,2025-12-06,0.9302325581395349,0.9863013698630136,0.9368401830235272,0.9904191474668262,0.838358040308346,0.9500559162941453,0.9996484255947664,0.9996484255947664
39,OH,2025-11-15,2025-12-06,0.9978213507625272,1.0,0.9984877228536275,,0.9919780271904426,,,
40,OK,2025-11-15,2025-12-06,0.8571428571428571,0.956140350877193,0.8599819299511668,0.9587869993130107,0.775228259935659,0.9118435567702771,0.985478950228814,0.985478950228814
41,OR,2025-11-15,2025-12-06,0.773109243697479,0.9865771812080537,0.7746430558084916,0.988685767238804,0.6940563330495366,0.9629300825570272,0.9983592405198829,0.9983592405198829
42,PA,2025-11-15,2025-12-06,1.0,0.9991742361684558,,0.9994273151370567,,0.9969559817412235,0.9999790764106499,0.9999790764106499
44,RI,2025-11-15,2025-12-06,1.0,0.9900990099009901,,0.9930924954370359,,0.9637833073548235,0.9997468539670226,0.9997468539670226
45,SC,2025-11-15,2025-12-06,0.9863013698630136,0.9879518072289156,0.9877526131484924,0.9892321391587127,0.9672539971464233,0.971173450249377,0.9974983730582219,0.9974983730582219
46,SD,2025-11-15,2025-12-06,0.9354838709677419,0.9672131147540983,0.944682992259979,0.9721850950041021,0.8278305443665873,0.910600949942513,0.9959373753579065,0.9959373753579065
47,TN,2025-11-15,2025-12-06,0.9609929078014184,1.0,0.9620788562316888,,0.9355293090692485,,,
48,TX,2025-11-15,2025-12-06,0.973792394655704,0.9974696356275303,0.9739545658962578,0.9976353844989738,0.9662477775231649,0.9948225746016666,0.9991774864883463,0.9991774864883463
49,UT,2025-11-15,2025-12-06,1.0,0.9935897435897436,,0.995538066839922,,0.9764817458514672,0.9998366726426925,0.9998366726426925
50,VT,2025-11-15,2025-12-06,0.8928571428571429,0.9827586206896551,0.9021872339115411,0.9879131629461064,0.7571016531543728,0.9373325190855151,0.9995559265599107,0.9995559265599107
51,VA,2025-11-15,2025-12-06,0.9568733153638814,0.9850374064837906,0.9576924440715929,0.9858364653708536,0.9340153246280164,0.9710716562147131,0.9944758904954193,0.9944758904954193
53,WA,2025-11-15,2025-12-06,0.9827586206896551,0.9950980392156863,0.9845730785319549,0.9965913047069154,0.9588646734469439,0.9819922919750981,0.9998752895110672,0.9998752895110672
54,WV,2025-11-15,2025-12-06,0.7692307692307693,0.9878048780487805,0.7727018946543008,0.9914791374956781,0.6467859364904807,0.9554797375436782,0.9996874833128462,0.9996874833128462
55,WI,2025-11-15,2025-12-06,0.9835164835164835,0.9952830188679245,0.9852536624322847,0.9967203321707072,0.9606565591398597,0.9826690971249453,0.9998800175871655,0.9998800175871655
56,WY,2025-11-15,2025-12-06,0.8163265306122449,0.9873417721518988,0.8206499983597125,0.9911528659451397,0.6977775864701197,0.9538075796719513,0.9996754653909028,0.9996754653909028
72,PR,2025-11-15,2025-12-06,1.0,1.0,,,,,,
