fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-30,2026-06-20,0.904,0.985
1,AL,2026-05-30,2026-06-20,0.754,0.967
2,AK,2026-05-30,2026-06-20,0.897,0.98
4,AZ,2026-05-30,2026-06-20,0.936,0.989
5,AR,2026-05-30,2026-06-20,0.917,0.983
6,CA,2026-05-30,2026-06-20,0.895,0.986
8,CO,2026-05-30,2026-06-20,0.93,0.986
9,CT,2026-05-30,2026-06-20,0.932,0.986
10,DE,2026-05-30,2026-06-20,0.923,0.984
11,DC,2026-05-30,2026-06-20,0.828,0.969
12,FL,2026-05-30,2026-06-20,0.888,0.986
13,GA,2026-05-30,2026-06-20,0.833,0.967
15,HI,2026-05-30,2026-06-20,0.935,0.987
16,ID,2026-05-30,2026-06-20,0.919,0.984
17,IL,2026-05-30,2026-06-20,0.652,0.965
18,IN,2026-05-30,2026-06-20,0.9,0.981
19,IA,2026-05-30,2026-06-20,0.881,0.977
20,KS,2026-05-30,2026-06-20,0.852,0.967
21,KY,2026-05-30,2026-06-20,0.78,0.937
22,LA,2026-05-30,2026-06-20,0.857,0.955
23,ME,2026-05-30,2026-06-20,0.889,0.978
24,MD,2026-05-30,2026-06-20,0.94,0.988
25,MA,2026-05-30,2026-06-20,0.891,0.979
26,MI,2026-05-30,2026-06-20,0.878,0.978
27,MN,2026-05-30,2026-06-20,0.926,0.985
28,MS,2026-05-30,2026-06-20,0.896,0.98
29,MO,2026-05-30,2026-06-20,0.843,0.974
30,MT,2026-05-30,2026-06-20,0.839,0.956
31,NE,2026-05-30,2026-06-20,0.895,0.979
32,NV,2026-05-30,2026-06-20,0.926,0.986
33,NH,2026-05-30,2026-06-20,0.893,0.979
34,NJ,2026-05-30,2026-06-20,0.961,0.992
35,NM,2026-05-30,2026-06-20,0.897,0.98
36,NY,2026-05-30,2026-06-20,0.916,0.981
37,NC,2026-05-30,2026-06-20,0.94,0.988
38,ND,2026-05-30,2026-06-20,0.923,0.985
39,OH,2026-05-30,2026-06-20,0.942,0.989
40,OK,2026-05-30,2026-06-20,0.918,0.983
41,OR,2026-05-30,2026-06-20,0.906,0.982
42,PA,2026-05-30,2026-06-20,0.98,0.996
44,RI,2026-05-30,2026-06-20,0.873,0.976
45,SC,2026-05-30,2026-06-20,0.93,0.986
46,SD,2026-05-30,2026-06-20,0.875,0.976
47,TN,2026-05-30,2026-06-20,0.946,0.99
48,TX,2026-05-30,2026-06-20,0.88,0.972
49,UT,2026-05-30,2026-06-20,0.932,0.986
50,VT,2026-05-30,2026-06-20,0.904,0.981
51,VA,2026-05-30,2026-06-20,0.932,0.987
53,WA,2026-05-30,2026-06-20,0.979,0.996
54,WV,2026-05-30,2026-06-20,0.922,0.984
55,WI,2026-05-30,2026-06-20,0.879,0.977
56,WY,2026-05-30,2026-06-20,0.907,0.981
72,PR,2026-05-30,2026-06-20,0.959,0.992
