fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-01-10,2026-01-31,0.893,0.986
1,AL,2026-01-10,2026-01-31,0.749,0.981
2,AK,2026-01-10,2026-01-31,0.832,0.969
4,AZ,2026-01-10,2026-01-31,0.931,0.993
5,AR,2026-01-10,2026-01-31,0.825,0.952
6,CA,2026-01-10,2026-01-31,0.883,0.989
8,CO,2026-01-10,2026-01-31,0.914,0.994
9,CT,2026-01-10,2026-01-31,0.986,0.998
10,DE,2026-01-10,2026-01-31,0.951,0.993
11,DC,2026-01-10,2026-01-31,0.829,0.971
12,FL,2026-01-10,2026-01-31,0.839,0.987
13,GA,2026-01-10,2026-01-31,0.872,0.993
15,HI,2026-01-10,2026-01-31,0.921,0.988
16,ID,2026-01-10,2026-01-31,0.906,0.987
17,IL,2026-01-10,2026-01-31,0.959,0.994
18,IN,2026-01-10,2026-01-31,0.857,0.964
19,IA,2026-01-10,2026-01-31,0.934,0.989
20,KS,2026-01-10,2026-01-31,0.853,0.986
21,KY,2026-01-10,2026-01-31,0.909,0.994
22,LA,2026-01-10,2026-01-31,0.905,0.993
23,ME,2026-01-10,2026-01-31,0.934,0.985
24,MD,2026-01-10,2026-01-31,0.899,0.973
25,MA,2026-01-10,2026-01-31,0.93,0.996
26,MI,2026-01-10,2026-01-31,0.929,0.973
27,MN,2026-01-10,2026-01-31,0.969,0.997
28,MS,2026-01-10,2026-01-31,0.91,0.976
29,MO,2026-01-10,2026-01-31,0.757,0.899
30,MT,2026-01-10,2026-01-31,0.863,0.971
31,NE,2026-01-10,2026-01-31,0.869,0.975
32,NV,2026-01-10,2026-01-31,0.785,0.987
33,NH,2026-01-10,2026-01-31,0.885,0.99
34,NJ,2026-01-10,2026-01-31,0.988,0.996
35,NM,2026-01-10,2026-01-31,0.94,0.992
36,NY,2026-01-10,2026-01-31,0.837,0.978
37,NC,2026-01-10,2026-01-31,0.951,0.997
38,ND,2026-01-10,2026-01-31,1.0,1.0
39,OH,2026-01-10,2026-01-31,0.934,0.998
40,OK,2026-01-10,2026-01-31,0.73,0.951
41,OR,2026-01-10,2026-01-31,0.683,0.911
42,PA,2026-01-10,2026-01-31,0.895,0.993
44,RI,2026-01-10,2026-01-31,0.924,0.977
45,SC,2026-01-10,2026-01-31,0.903,0.987
46,SD,2026-01-10,2026-01-31,0.727,0.899
47,TN,2026-01-10,2026-01-31,0.941,0.996
48,TX,2026-01-10,2026-01-31,0.884,0.989
49,UT,2026-01-10,2026-01-31,0.846,0.984
50,VT,2026-01-10,2026-01-31,0.875,0.982
51,VA,2026-01-10,2026-01-31,0.946,0.99
53,WA,2026-01-10,2026-01-31,0.965,0.995
54,WV,2026-01-10,2026-01-31,0.882,0.942
55,WI,2026-01-10,2026-01-31,0.949,0.993
56,WY,2026-01-10,2026-01-31,0.893,0.983
72,PR,2026-01-10,2026-01-31,0.965,0.992
