fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-07-25,2026-08-15,0.937,0.993
1,AL,2026-07-25,2026-08-15,0.9,0.981
2,AK,2026-07-25,2026-08-15,0.912,0.982
4,AZ,2026-07-25,2026-08-15,0.924,0.984
5,AR,2026-07-25,2026-08-15,0.904,0.981
6,CA,2026-07-25,2026-08-15,0.933,0.987
8,CO,2026-07-25,2026-08-15,0.91,0.981
9,CT,2026-07-25,2026-08-15,0.897,0.98
10,DE,2026-07-25,2026-08-15,0.895,0.979
11,DC,2026-07-25,2026-08-15,0.9,0.98
12,FL,2026-07-25,2026-08-15,0.927,0.988
13,GA,2026-07-25,2026-08-15,0.934,0.987
15,HI,2026-07-25,2026-08-15,0.921,0.984
16,ID,2026-07-25,2026-08-15,0.915,0.983
17,IL,2026-07-25,2026-08-15,0.944,0.989
18,IN,2026-07-25,2026-08-15,0.875,0.977
19,IA,2026-07-25,2026-08-15,0.907,0.981
20,KS,2026-07-25,2026-08-15,0.897,0.98
21,KY,2026-07-25,2026-08-15,0.846,0.962
22,LA,2026-07-25,2026-08-15,0.603,0.962
23,ME,2026-07-25,2026-08-15,0.902,0.98
24,MD,2026-07-25,2026-08-15,0.917,0.984
25,MA,2026-07-25,2026-08-15,0.912,0.982
26,MI,2026-07-25,2026-08-15,0.94,0.988
27,MN,2026-07-25,2026-08-15,0.895,0.979
28,MS,2026-07-25,2026-08-15,0.988,0.997
29,MO,2026-07-25,2026-08-15,0.908,0.983
30,MT,2026-07-25,2026-08-15,0.902,0.98
31,NE,2026-07-25,2026-08-15,0.906,0.981
32,NV,2026-07-25,2026-08-15,0.946,0.989
33,NH,2026-07-25,2026-08-15,0.915,0.983
34,NJ,2026-07-25,2026-08-15,0.955,0.991
35,NM,2026-07-25,2026-08-15,0.891,0.979
36,NY,2026-07-25,2026-08-15,0.941,0.988
37,NC,2026-07-25,2026-08-15,0.938,0.989
38,ND,2026-07-25,2026-08-15,0.915,0.983
39,OH,2026-07-25,2026-08-15,0.94,0.988
40,OK,2026-07-25,2026-08-15,0.882,0.978
41,OR,2026-07-25,2026-08-15,0.869,0.975
42,PA,2026-07-25,2026-08-15,0.989,0.998
44,RI,2026-07-25,2026-08-15,0.904,0.981
45,SC,2026-07-25,2026-08-15,0.923,0.985
46,SD,2026-07-25,2026-08-15,0.912,0.982
47,TN,2026-07-25,2026-08-15,0.951,0.99
48,TX,2026-07-25,2026-08-15,0.94,0.99
49,UT,2026-07-25,2026-08-15,0.919,0.984
50,VT,2026-07-25,2026-08-15,0.904,0.981
51,VA,2026-07-25,2026-08-15,0.905,0.982
53,WA,2026-07-25,2026-08-15,0.936,0.987
54,WV,2026-07-25,2026-08-15,0.911,0.982
55,WI,2026-07-25,2026-08-15,0.918,0.984
56,WY,2026-07-25,2026-08-15,0.907,0.981
72,PR,2026-07-25,2026-08-15,0.967,0.993
