fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-04-04,2026-04-25,0.907,0.958
1,AL,2026-04-04,2026-04-25,0.88,0.982
2,AK,2026-04-04,2026-04-25,0.88,0.973
4,AZ,2026-04-04,2026-04-25,0.975,0.995
5,AR,2026-04-04,2026-04-25,0.8,0.968
6,CA,2026-04-04,2026-04-25,0.92,0.989
8,CO,2026-04-04,2026-04-25,0.934,0.988
9,CT,2026-04-04,2026-04-25,0.964,0.993
10,DE,2026-04-04,2026-04-25,0.901,0.981
11,DC,2026-04-04,2026-04-25,0.864,0.974
12,FL,2026-04-04,2026-04-25,0.912,0.98
13,GA,2026-04-04,2026-04-25,0.944,0.99
15,HI,2026-04-04,2026-04-25,0.844,0.964
16,ID,2026-04-04,2026-04-25,0.914,0.979
17,IL,2026-04-04,2026-04-25,1.0,1.0
18,IN,2026-04-04,2026-04-25,0.938,0.985
19,IA,2026-04-04,2026-04-25,0.942,0.989
20,KS,2026-04-04,2026-04-25,0.89,0.972
21,KY,2026-04-04,2026-04-25,0.81,0.962
22,LA,2026-04-04,2026-04-25,0.935,0.988
23,ME,2026-04-04,2026-04-25,0.87,0.974
24,MD,2026-04-04,2026-04-25,0.884,0.979
25,MA,2026-04-04,2026-04-25,0.923,0.979
26,MI,2026-04-04,2026-04-25,0.961,0.988
27,MN,2026-04-04,2026-04-25,0.987,0.997
28,MS,2026-04-04,2026-04-25,0.912,0.981
29,MO,2026-04-04,2026-04-25,0.912,0.985
30,MT,2026-04-04,2026-04-25,0.927,0.986
31,NE,2026-04-04,2026-04-25,0.91,0.983
32,NV,2026-04-04,2026-04-25,0.916,0.986
33,NH,2026-04-04,2026-04-25,0.941,0.988
34,NJ,2026-04-04,2026-04-25,1.0,1.0
35,NM,2026-04-04,2026-04-25,0.849,0.974
36,NY,2026-04-04,2026-04-25,0.877,0.963
37,NC,2026-04-04,2026-04-25,0.951,0.991
38,ND,2026-04-04,2026-04-25,0.875,0.969
39,OH,2026-04-04,2026-04-25,0.938,0.988
40,OK,2026-04-04,2026-04-25,0.93,0.987
41,OR,2026-04-04,2026-04-25,0.905,0.982
42,PA,2026-04-04,2026-04-25,0.732,0.857
44,RI,2026-04-04,2026-04-25,0.927,0.986
45,SC,2026-04-04,2026-04-25,0.933,0.987
46,SD,2026-04-04,2026-04-25,0.929,0.986
47,TN,2026-04-04,2026-04-25,0.964,0.993
48,TX,2026-04-04,2026-04-25,0.949,0.989
49,UT,2026-04-04,2026-04-25,0.935,0.987
50,VT,2026-04-04,2026-04-25,0.908,0.982
51,VA,2026-04-04,2026-04-25,0.891,0.982
53,WA,2026-04-04,2026-04-25,0.916,0.987
54,WV,2026-04-04,2026-04-25,0.944,0.989
55,WI,2026-04-04,2026-04-25,0.864,0.94
56,WY,2026-04-04,2026-04-25,0.921,0.983
72,PR,2026-04-04,2026-04-25,0.966,0.994
