fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-06-27,2026-07-18,0.939,0.995
1,AL,2026-06-27,2026-07-18,0.925,0.986
2,AK,2026-06-27,2026-07-18,0.915,0.983
4,AZ,2026-06-27,2026-07-18,0.855,0.976
5,AR,2026-06-27,2026-07-18,0.881,0.975
6,CA,2026-06-27,2026-07-18,0.944,0.991
8,CO,2026-06-27,2026-07-18,0.906,0.982
9,CT,2026-06-27,2026-07-18,0.914,0.983
10,DE,2026-06-27,2026-07-18,0.891,0.979
11,DC,2026-06-27,2026-07-18,0.847,0.972
12,FL,2026-06-27,2026-07-18,0.935,0.985
13,GA,2026-06-27,2026-07-18,0.891,0.979
15,HI,2026-06-27,2026-07-18,0.936,0.987
16,ID,2026-06-27,2026-07-18,0.846,0.966
17,IL,2026-06-27,2026-07-18,0.545,0.961
18,IN,2026-06-27,2026-07-18,0.91,0.983
19,IA,2026-06-27,2026-07-18,0.911,0.982
20,KS,2026-06-27,2026-07-18,0.881,0.977
21,KY,2026-06-27,2026-07-18,0.878,0.978
22,LA,2026-06-27,2026-07-18,0.948,0.99
23,ME,2026-06-27,2026-07-18,0.902,0.98
24,MD,2026-06-27,2026-07-18,0.904,0.982
25,MA,2026-06-27,2026-07-18,0.914,0.983
26,MI,2026-06-27,2026-07-18,0.933,0.987
27,MN,2026-06-27,2026-07-18,0.921,0.984
28,MS,2026-06-27,2026-07-18,0.905,0.982
29,MO,2026-06-27,2026-07-18,0.892,0.98
30,MT,2026-06-27,2026-07-18,0.887,0.978
31,NE,2026-06-27,2026-07-18,0.919,0.984
32,NV,2026-06-27,2026-07-18,0.882,0.973
33,NH,2026-06-27,2026-07-18,0.887,0.978
34,NJ,2026-06-27,2026-07-18,0.944,0.989
35,NM,2026-06-27,2026-07-18,0.887,0.978
36,NY,2026-06-27,2026-07-18,0.918,0.985
37,NC,2026-06-27,2026-07-18,0.915,0.982
38,ND,2026-06-27,2026-07-18,0.919,0.984
39,OH,2026-06-27,2026-07-18,0.872,0.977
40,OK,2026-06-27,2026-07-18,0.85,0.971
41,OR,2026-06-27,2026-07-18,0.895,0.979
42,PA,2026-06-27,2026-07-18,0.986,0.997
44,RI,2026-06-27,2026-07-18,0.9,0.98
45,SC,2026-06-27,2026-07-18,0.924,0.985
46,SD,2026-06-27,2026-07-18,0.907,0.981
47,TN,2026-06-27,2026-07-18,0.937,0.988
48,TX,2026-06-27,2026-07-18,1.0,1.0
49,UT,2026-06-27,2026-07-18,0.912,0.982
50,VT,2026-06-27,2026-07-18,0.902,0.98
51,VA,2026-06-27,2026-07-18,0.922,0.985
53,WA,2026-06-27,2026-07-18,0.987,0.998
54,WV,2026-06-27,2026-07-18,0.909,0.982
55,WI,2026-06-27,2026-07-18,0.908,0.982
56,WY,2026-06-27,2026-07-18,0.904,0.981
72,PR,2026-06-27,2026-07-18,0.953,0.994
