fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-07-04,2026-07-25,0.911,0.996
1,AL,2026-07-04,2026-07-25,0.906,0.982
2,AK,2026-07-04,2026-07-25,0.908,0.982
4,AZ,2026-07-04,2026-07-25,0.89,0.981
5,AR,2026-07-04,2026-07-25,0.889,0.978
6,CA,2026-07-04,2026-07-25,0.951,0.992
8,CO,2026-07-04,2026-07-25,0.924,0.985
9,CT,2026-07-04,2026-07-25,0.895,0.979
10,DE,2026-07-04,2026-07-25,0.877,0.976
11,DC,2026-07-04,2026-07-25,0.875,0.976
12,FL,2026-07-04,2026-07-25,0.931,0.986
13,GA,2026-07-04,2026-07-25,0.911,0.982
15,HI,2026-07-04,2026-07-25,0.932,0.986
16,ID,2026-07-04,2026-07-25,0.857,0.971
17,IL,2026-07-04,2026-07-25,0.566,0.963
18,IN,2026-07-04,2026-07-25,0.922,0.985
19,IA,2026-07-04,2026-07-25,0.907,0.981
20,KS,2026-07-04,2026-07-25,0.864,0.974
21,KY,2026-07-04,2026-07-25,0.906,0.977
22,LA,2026-07-04,2026-07-25,0.635,0.968
23,ME,2026-07-04,2026-07-25,0.904,0.981
24,MD,2026-07-04,2026-07-25,0.905,0.982
25,MA,2026-07-04,2026-07-25,0.912,0.982
26,MI,2026-07-04,2026-07-25,0.937,0.987
27,MN,2026-07-04,2026-07-25,0.919,0.984
28,MS,2026-07-04,2026-07-25,0.923,0.985
29,MO,2026-07-04,2026-07-25,0.899,0.981
30,MT,2026-07-04,2026-07-25,0.885,0.977
31,NE,2026-07-04,2026-07-25,0.911,0.982
32,NV,2026-07-04,2026-07-25,0.92,0.985
33,NH,2026-07-04,2026-07-25,0.889,0.978
34,NJ,2026-07-04,2026-07-25,0.955,0.991
35,NM,2026-07-04,2026-07-25,0.891,0.979
36,NY,2026-07-04,2026-07-25,0.93,0.985
37,NC,2026-07-04,2026-07-25,0.927,0.986
38,ND,2026-07-04,2026-07-25,0.918,0.984
39,OH,2026-07-04,2026-07-25,0.895,0.98
40,OK,2026-07-04,2026-07-25,0.857,0.974
41,OR,2026-07-04,2026-07-25,0.9,0.98
42,PA,2026-07-04,2026-07-25,0.987,0.998
44,RI,2026-07-04,2026-07-25,0.9,0.98
45,SC,2026-07-04,2026-07-25,0.926,0.985
46,SD,2026-07-04,2026-07-25,0.907,0.981
47,TN,2026-07-04,2026-07-25,0.938,0.988
48,TX,2026-07-04,2026-07-25,0.943,0.994
49,UT,2026-07-04,2026-07-25,0.914,0.983
50,VT,2026-07-04,2026-07-25,0.902,0.98
51,VA,2026-07-04,2026-07-25,0.914,0.984
53,WA,2026-07-04,2026-07-25,0.986,0.998
54,WV,2026-07-04,2026-07-25,0.906,0.981
55,WI,2026-07-04,2026-07-25,0.922,0.984
56,WY,2026-07-04,2026-07-25,0.904,0.981
72,PR,2026-07-04,2026-07-25,0.955,0.995
