fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-04-11,2026-05-02,0.897,0.952
1,AL,2026-04-11,2026-05-02,0.873,0.98
2,AK,2026-04-11,2026-05-02,0.873,0.972
4,AZ,2026-04-11,2026-05-02,0.978,0.996
5,AR,2026-04-11,2026-05-02,0.816,0.966
6,CA,2026-04-11,2026-05-02,0.926,0.99
8,CO,2026-04-11,2026-05-02,0.969,0.994
9,CT,2026-04-11,2026-05-02,0.964,0.993
10,DE,2026-04-11,2026-05-02,0.897,0.98
11,DC,2026-04-11,2026-05-02,0.864,0.974
12,FL,2026-04-11,2026-05-02,0.906,0.982
13,GA,2026-04-11,2026-05-02,0.921,0.987
15,HI,2026-04-11,2026-05-02,0.885,0.977
16,ID,2026-04-11,2026-05-02,0.895,0.975
17,IL,2026-04-11,2026-05-02,1.0,1.0
18,IN,2026-04-11,2026-05-02,0.926,0.982
19,IA,2026-04-11,2026-05-02,0.929,0.987
20,KS,2026-04-11,2026-05-02,0.864,0.966
21,KY,2026-04-11,2026-05-02,0.77,0.94
22,LA,2026-04-11,2026-05-02,0.928,0.987
23,ME,2026-04-11,2026-05-02,0.88,0.978
24,MD,2026-04-11,2026-05-02,0.909,0.983
25,MA,2026-04-11,2026-05-02,0.922,0.978
26,MI,2026-04-11,2026-05-02,0.949,0.984
27,MN,2026-04-11,2026-05-02,0.987,0.997
28,MS,2026-04-11,2026-05-02,0.902,0.979
29,MO,2026-04-11,2026-05-02,0.896,0.982
30,MT,2026-04-11,2026-05-02,0.912,0.983
31,NE,2026-04-11,2026-05-02,0.923,0.985
32,NV,2026-04-11,2026-05-02,0.879,0.981
33,NH,2026-04-11,2026-05-02,0.928,0.986
34,NJ,2026-04-11,2026-05-02,0.986,0.997
35,NM,2026-04-11,2026-05-02,0.854,0.975
36,NY,2026-04-11,2026-05-02,0.863,0.95
37,NC,2026-04-11,2026-05-02,0.951,0.99
38,ND,2026-04-11,2026-05-02,0.855,0.964
39,OH,2026-04-11,2026-05-02,0.946,0.989
40,OK,2026-04-11,2026-05-02,0.896,0.98
41,OR,2026-04-11,2026-05-02,0.884,0.979
42,PA,2026-04-11,2026-05-02,0.691,0.833
44,RI,2026-04-11,2026-05-02,0.929,0.986
45,SC,2026-04-11,2026-05-02,0.946,0.989
46,SD,2026-04-11,2026-05-02,0.91,0.983
47,TN,2026-04-11,2026-05-02,0.955,0.991
48,TX,2026-04-11,2026-05-02,0.941,0.987
49,UT,2026-04-11,2026-05-02,0.94,0.988
50,VT,2026-04-11,2026-05-02,0.897,0.98
51,VA,2026-04-11,2026-05-02,0.937,0.988
53,WA,2026-04-11,2026-05-02,0.91,0.986
54,WV,2026-04-11,2026-05-02,0.947,0.99
55,WI,2026-04-11,2026-05-02,0.833,0.927
56,WY,2026-04-11,2026-05-02,0.9,0.979
72,PR,2026-04-11,2026-05-02,0.976,0.995
