model,fips_state,parameter,element,hyperdistribution,2023-2024,2024-2025,2025-2026
SIR-1S,51,f_R,0,norm,0.3018225196346243,0.2901152424529033,0.2942020470539699
SIR-1S,51,f_I,0,lognorm,0.0002431519682918,1.9135126480422245e-05,3.399003635276161e-05
SIR-1S,51,beta,0,norm,0.4479270881079483,0.4629500061818328,0.4674527961934431
SIR-1S,51,delta_beta_temporal,0,norm,-0.0783316874331483,-0.1101670194794565,-0.0893891433337615
SIR-1S,51,delta_beta_temporal,1,norm,0.0036260663793955,-0.0328888219377544,-0.0018529171396977
SIR-1S,51,delta_beta_temporal,2,norm,0.0071195068423644,-0.023060047480169,0.0720703212890926
SIR-1S,51,delta_beta_temporal,3,norm,0.0524223181203036,0.0620726188974219,0.0288291238330906
SIR-1S,51,delta_beta_temporal,4,norm,0.2462357798282395,0.1806801631827599,0.2694155142286375
SIR-1S,51,delta_beta_temporal,5,norm,-0.111149143198557,-0.1038690177636285,-0.1053706265662399
SIR-1S,51,delta_beta_temporal,6,norm,-0.0867136525418177,0.0638543825186968,-0.1020956111459513
SIR-1S,51,delta_beta_temporal,7,norm,-0.0196002652257086,0.1041479538183083,-0.009309666577981
SIR-1S,51,delta_beta_temporal,8,norm,0.1262961704972688,-0.0775537750077312,0.0941727930410712
SIR-1S,51,delta_beta_temporal,9,norm,0.0293265965808994,0.0212698864487807,-0.0187019064430226
SIR-1S,51,delta_beta_temporal,10,norm,0.0320841202894239,-0.0523240947041671,-0.0929359425589135
SIR-1S,51,delta_beta_temporal,11,norm,0.0874462330820947,-0.0522728962859871,0.0257782540820076
SIR-1S,53,rho_h,0,lognorm,0.0029805246138196,0.0044921551028094,0.0033844069357545
SIR-1S,53,f_R,0,norm,0.3416524364088646,0.2892344963024441,0.3215477460212658
SIR-1S,53,f_I,0,lognorm,0.000149430169877,6.694376299234893e-06,5.36044246963222e-05
SIR-1S,53,beta,0,norm,0.4664107344353088,0.4848546936971926,0.469162007268281
SIR-1S,53,delta_beta_temporal,0,norm,-0.0476852301007249,-0.044487553586551,-0.0332823607000517
SIR-1S,53,delta_beta_temporal,1,norm,0.0392711773704963,-0.0173531724608371,-0.002785065438461
SIR-1S,53,delta_beta_temporal,2,norm,0.1038093129017031,0.025893740533179,0.0227761778716997
SIR-1S,53,delta_beta_temporal,3,norm,0.0916260910098247,0.1421879510688117,0.0395179404403143
SIR-1S,53,delta_beta_temporal,4,norm,0.1232011238284669,0.0882846423091669,0.1256524519689298
SIR-1S,53,delta_beta_temporal,5,norm,-0.0309294473047338,-0.1995578224487066,-0.0121583344839359
SIR-1S,53,delta_beta_temporal,6,norm,-0.0682627693973032,0.003490622901247,0.0110064665231332
SIR-1S,53,delta_beta_temporal,7,norm,-0.0369673188598434,0.1007731002358542,0.0415505842009541
SIR-1S,53,delta_beta_temporal,8,norm,0.0331050302334935,-0.0299740564731217,-0.0536083678189881
SIR-1S,53,delta_beta_temporal,9,norm,0.0481844203061927,-0.1049021448342859,-0.0651910629891008
SIR-1S,53,delta_beta_temporal,10,norm,0.0296295638742581,0.0163765858625532,-0.0506038556193357
SIR-1S,53,delta_beta_temporal,11,norm,0.0100118989104766,0.0170631840485334,0.045868863457916
SIR-1S,54,rho_h,0,lognorm,0.0052608547721435,0.0085978901803972,0.0052277294059562
SIR-1S,54,f_R,0,norm,0.2784879466179448,0.2555432056454925,0.2789629938094463
SIR-1S,54,f_I,0,lognorm,1.6810847926605245e-05,1.6551906960652363e-06,4.7373428451593115e-06
SIR-1S,54,beta,0,norm,0.4695802656787011,0.4727250123496334,0.4794671639201845
SIR-1S,54,delta_beta_temporal,0,norm,-0.0454030153229985,-0.041352118461333,-0.0527262691933091
SIR-1S,54,delta_beta_temporal,1,norm,-0.0324128305310651,-0.0333909006370373,-0.0372566055485048
SIR-1S,54,delta_beta_temporal,2,norm,-0.0157923904996447,-0.0272725703364463,0.0219313432122327
SIR-1S,54,delta_beta_temporal,3,norm,0.0320265578196186,0.0109140761529177,0.069559913126784
SIR-1S,54,delta_beta_temporal,4,norm,0.1268796316263684,0.1296177004410048,0.1815933062888515
SIR-1S,54,delta_beta_temporal,5,norm,-0.0548006501431444,-0.110489974204338,-0.0960720346158738
SIR-1S,54,delta_beta_temporal,6,norm,-0.0656323111103297,-0.0808628834789634,-0.0234802103443903
SIR-1S,54,delta_beta_temporal,7,norm,0.0311096658733479,0.1552329093605683,-0.0309547600750025
SIR-1S,54,delta_beta_temporal,8,norm,0.1173148930019659,0.0405580845944925,0.0817291498304251
SIR-1S,54,delta_beta_temporal,9,norm,0.0577338980114388,0.0767137257155883,0.054345838161716
SIR-1S,54,delta_beta_temporal,10,norm,0.0453079699776198,0.0727578433517089,-0.0461225972986172
SIR-1S,54,delta_beta_temporal,11,norm,0.016997378561627,-0.018517485412118,0.0129374747218518
SIR-1S,55,rho_h,0,lognorm,0.0029124940161865,0.0062390027982087,0.004185563498712
SIR-1S,55,f_R,0,norm,0.2964384101350658,0.2748876442112639,0.2639080843219462
SIR-1S,55,f_I,0,lognorm,2.1472254533464744e-05,1.8177409932490488e-06,5.9503351242152204e-06
SIR-1S,55,beta,0,norm,0.4756007010635595,0.482818384828059,0.473058786905012
SIR-1S,55,delta_beta_temporal,0,norm,-0.0353873725325388,-0.037065116071521,-0.0862265639160717
SIR-1S,55,delta_beta_temporal,1,norm,-0.0129528407406334,-0.042481869745408,-0.0426304397765924
SIR-1S,55,delta_beta_temporal,2,norm,0.0434924195064163,-0.0361637512670082,0.0538374194126188
SIR-1S,55,delta_beta_temporal,3,norm,0.0510803420004534,0.0640731255279489,0.0730660871580831
SIR-1S,55,delta_beta_temporal,4,norm,0.0761571238714752,0.1033561283892693,0.2287986827754192
SIR-1S,55,delta_beta_temporal,5,norm,-0.0777325368578839,-0.0611292454864057,-0.131099834904419
SIR-1S,55,delta_beta_temporal,6,norm,-0.1217815122506209,0.0533623346165689,-0.1536940979768824
SIR-1S,55,delta_beta_temporal,7,norm,0.0769974525093759,0.0127539081443538,0.0637963800951637
SIR-1S,55,delta_beta_temporal,8,norm,0.0851584531525272,0.0076666044348178,0.0774553868884255
SIR-1S,55,delta_beta_temporal,9,norm,0.0923034051038536,-0.0534132331058684,0.0774261125496771
SIR-1S,55,delta_beta_temporal,10,norm,0.0757410273348977,-0.0636468251835278,0.0827821959298781
SIR-1S,55,delta_beta_temporal,11,norm,0.0586404541460967,0.0156193557373253,0.0017664085466279
SIR-1S,56,rho_h,0,lognorm,0.005125651390942,0.0074303192700867,0.0039785646225932
SIR-1S,56,f_R,0,norm,0.282873892558594,0.2700251165982476,0.2996789700650737
SIR-1S,56,f_I,0,lognorm,5.783580682714499e-05,1.2326310156858028e-05,6.610705300420666e-05
SIR-1S,56,beta,0,norm,0.4688447303823071,0.4705081906017591,0.4735932131037356
SIR-1S,56,delta_beta_temporal,0,norm,-0.0370064239437786,-0.0319248503767503,-0.0260604094253561
SIR-1S,56,delta_beta_temporal,1,norm,-0.0024235835681795,-0.0320869983001897,-0.0180634654574342
SIR-1S,56,delta_beta_temporal,2,norm,0.0174899905705295,-0.0138021998268069,0.0048665728187865
SIR-1S,56,delta_beta_temporal,3,norm,0.0081354344450941,0.0265072725193529,0.0641369791958004
SIR-1S,56,delta_beta_temporal,4,norm,0.0510951235298426,0.0890059844993159,0.0788046654825088
SIR-1S,56,delta_beta_temporal,5,norm,-0.013594534527864,-0.0533324978654443,-0.0325162287132912
SIR-1S,56,delta_beta_temporal,6,norm,-0.0196712361907466,0.0031523823831647,-0.0685573298416821
SIR-1S,56,delta_beta_temporal,7,norm,0.0736349060513316,0.0545613087816068,0.033214661193205
SIR-1S,56,delta_beta_temporal,8,norm,0.0420386964531769,0.0722388981528858,0.0184879397266462
SIR-1S,56,delta_beta_temporal,9,norm,0.0101288307518787,0.0520296428355382,0.0189082767384728
SIR-1S,56,delta_beta_temporal,10,norm,0.0039377340595089,0.0191521598287061,0.0229451762649335
SIR-1S,56,delta_beta_temporal,11,norm,0.0067221257645165,-0.0152052663532649,0.0208180204442339
SIR-1S,72,rho_h,0,lognorm,0.006329810232557,0.0168217898019241,0.0165353509263832
SIR-1S,72,f_R,0,norm,0.3035652715017698,0.1651890949845965,0.2581869938815877
SIR-1S,72,f_I,0,lognorm,0.0010814542216099,3.1149568552145125e-06,0.0005819286548421
SIR-1S,72,beta,0,norm,0.4487242249165014,0.4362684147781118,0.4048165490138596
SIR-1S,72,delta_beta_temporal,0,norm,0.0070371111828172,-0.0165959408086948,-0.1169200914150811
SIR-1S,72,delta_beta_temporal,1,norm,-0.0442891254564128,0.1004792072949619,0.0862003664516173
SIR-1S,72,delta_beta_temporal,2,norm,-0.076094023823973,-0.0802529321136852,0.0982404185246609
SIR-1S,72,delta_beta_temporal,3,norm,-0.0903254368897351,-0.1163459360695249,0.0376633860097842
SIR-1S,72,delta_beta_temporal,4,norm,0.0143584650167553,-0.0738001930664751,0.119387132250957
SIR-1S,72,delta_beta_temporal,5,norm,0.0230464040121054,-0.0459396166042508,-0.0038821078413842
SIR-1S,72,delta_beta_temporal,6,norm,0.0149074474113038,-0.3198474723399005,-0.0628510207154424
SIR-1S,72,delta_beta_temporal,7,norm,0.0782949475503599,-0.1257857867811462,-0.0161360988058457
SIR-1S,72,delta_beta_temporal,8,norm,0.0535747130185412,-0.0599694677473311,0.0219539894818751
SIR-1S,72,delta_beta_temporal,9,norm,0.0912910931301961,-0.0155897016479405,0.0663848331710731
SIR-1S,72,delta_beta_temporal,10,norm,0.0590039698531916,-0.1122582516135375,0.028485559151953
SIR-1S,72,delta_beta_temporal,11,norm,0.0648891640440593,0.0017925600243416,0.1398371022893046
